m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,10.23
0,3,nearest,wrap,9.98
0,4,nearest,wrap,10.02
0,5,nearest,wrap,9.56
0,6,nearest,wrap,10.24
0,7,nearest,wrap,9.24
0,8,nearest,wrap,10.32
1,0,nearest,wrap,10.03
1,1,nearest,wrap,10.17
1,2,nearest,wrap,9.65
1,3,nearest,wrap,10.07
1,4,nearest,wrap,9.84
1,5,nearest,wrap,10.11
1,6,nearest,wrap,9.93
1,7,nearest,wrap,10.12
1,8,nearest,wrap,10.17
2,0,nearest,wrap,10.06
2,1,nearest,wrap,10.34
2,2,nearest,wrap,9.0
2,3,nearest,wrap,8.36
2,4,nearest,wrap,8.72
2,5,nearest,wrap,8.13
2,6,nearest,wrap,8.04
2,7,nearest,wrap,7.9
2,8,nearest,wrap,8.15
3,0,nearest,wrap,90.69
3,1,nearest,wrap,88.16
3,2,nearest,wrap,87.19
3,3,nearest,wrap,86.58
3,4,nearest,wrap,86.48
3,5,nearest,wrap,86.35
3,6,nearest,wrap,86.35
3,7,nearest,wrap,86.27
3,8,nearest,wrap,86.37
4,0,nearest,wrap,97.98
4,1,nearest,wrap,97.89
4,2,nearest,wrap,97.93
4,3,nearest,wrap,97.99
4,4,nearest,wrap,97.96
4,5,nearest,wrap,98.1
4,6,nearest,wrap,97.97
4,7,nearest,wrap,98.0
4,8,nearest,wrap,97.95
5,0,nearest,wrap,97.98
5,1,nearest,wrap,97.84
5,2,nearest,wrap,98.01
5,3,nearest,wrap,98.1
5,4,nearest,wrap,98.0
5,5,nearest,wrap,98.05
5,6,nearest,wrap,98.1
5,7,nearest,wrap,98.07
5,8,nearest,wrap,98.13
