m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,89.78
0,3,trunc,saturate,93.55
0,4,trunc,saturate,94.66
0,5,trunc,saturate,95.43
0,6,trunc,saturate,95.56
0,7,trunc,saturate,95.75
0,8,trunc,saturate,95.55
1,0,trunc,saturate,73.01
1,1,trunc,saturate,76.09
1,2,trunc,saturate,90.0
1,3,trunc,saturate,93.61
1,4,trunc,saturate,94.71
1,5,trunc,saturate,95.52
1,6,trunc,saturate,95.77
1,7,trunc,saturate,95.9
1,8,trunc,saturate,95.83
2,0,trunc,saturate,73.49
2,1,trunc,saturate,76.31
2,2,trunc,saturate,89.65
2,3,trunc,saturate,93.56
2,4,trunc,saturate,94.89
2,5,trunc,saturate,95.7
2,6,trunc,saturate,95.59
2,7,trunc,saturate,95.81
2,8,trunc,saturate,95.77
3,0,trunc,saturate,73.57
3,1,trunc,saturate,76.58
3,2,trunc,saturate,89.53
3,3,trunc,saturate,93.71
3,4,trunc,saturate,94.82
3,5,trunc,saturate,95.34
3,6,trunc,saturate,95.63
3,7,trunc,saturate,95.87
3,8,trunc,saturate,95.72
4,0,trunc,saturate,73.17
4,1,trunc,saturate,76.41
4,2,trunc,saturate,89.96
4,3,trunc,saturate,93.67
4,4,trunc,saturate,94.96
4,5,trunc,saturate,95.57
4,6,trunc,saturate,95.67
4,7,trunc,saturate,95.57
4,8,trunc,saturate,95.72
5,0,trunc,saturate,73.18
5,1,trunc,saturate,76.38
5,2,trunc,saturate,89.77
5,3,trunc,saturate,93.52
5,4,trunc,saturate,94.76
5,5,trunc,saturate,95.44
5,6,trunc,saturate,95.72
5,7,trunc,saturate,95.8
5,8,trunc,saturate,95.6
