m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,10.24
0,3,trunc,wrap,10.06
0,4,trunc,wrap,9.81
0,5,trunc,wrap,10.09
0,6,trunc,wrap,9.96
0,7,trunc,wrap,10.13
0,8,trunc,wrap,9.8
1,0,trunc,wrap,7.11
1,1,trunc,wrap,8.05
1,2,trunc,wrap,9.94
1,3,trunc,wrap,9.93
1,4,trunc,wrap,9.85
1,5,trunc,wrap,9.99
1,6,trunc,wrap,10.11
1,7,trunc,wrap,10.54
1,8,trunc,wrap,10.27
2,0,trunc,wrap,24.0
2,1,trunc,wrap,14.75
2,2,trunc,wrap,16.21
2,3,trunc,wrap,16.11
2,4,trunc,wrap,15.04
2,5,trunc,wrap,14.97
2,6,trunc,wrap,14.6
2,7,trunc,wrap,14.72
2,8,trunc,wrap,15.06
3,0,trunc,wrap,72.92
3,1,trunc,wrap,74.94
3,2,trunc,wrap,87.41
3,3,trunc,wrap,90.48
3,4,trunc,wrap,91.07
3,5,trunc,wrap,91.5
3,6,trunc,wrap,91.59
3,7,trunc,wrap,91.67
3,8,trunc,wrap,91.55
4,0,trunc,wrap,73.3
4,1,trunc,wrap,76.55
4,2,trunc,wrap,89.94
4,3,trunc,wrap,93.65
4,4,trunc,wrap,94.95
4,5,trunc,wrap,95.54
4,6,trunc,wrap,95.69
4,7,trunc,wrap,95.59
4,8,trunc,wrap,95.69
5,0,trunc,wrap,73.18
5,1,trunc,wrap,76.38
5,2,trunc,wrap,89.77
5,3,trunc,wrap,93.52
5,4,trunc,wrap,94.76
5,5,trunc,wrap,95.44
5,6,trunc,wrap,95.72
5,7,trunc,wrap,95.8
5,8,trunc,wrap,95.6
