m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,37.18
0,3,stochastic,saturate,35.82
0,4,stochastic,saturate,43.19
0,5,stochastic,saturate,38.89
0,6,stochastic,saturate,38.94
0,7,stochastic,saturate,40.71
0,8,stochastic,saturate,43.77
1,0,stochastic,saturate,42.57
1,1,stochastic,saturate,30.31
1,2,stochastic,saturate,38.03
1,3,stochastic,saturate,38.13
1,4,stochastic,saturate,37.72
1,5,stochastic,saturate,39.42
1,6,stochastic,saturate,42.51
1,7,stochastic,saturate,44.11
1,8,stochastic,saturate,44.63
2,0,stochastic,saturate,43.44
2,1,stochastic,saturate,33.06
2,2,stochastic,saturate,37.84
2,3,stochastic,saturate,37.32
2,4,stochastic,saturate,41.01
2,5,stochastic,saturate,38.24
2,6,stochastic,saturate,41.16
2,7,stochastic,saturate,45.96
2,8,stochastic,saturate,40.82
3,0,stochastic,saturate,41.86
3,1,stochastic,saturate,31.28
3,2,stochastic,saturate,38.41
3,3,stochastic,saturate,40.82
3,4,stochastic,saturate,42.78
3,5,stochastic,saturate,42.14
3,6,stochastic,saturate,40.28
3,7,stochastic,saturate,42.75
3,8,stochastic,saturate,40.67
4,0,stochastic,saturate,42.41
4,1,stochastic,saturate,33.45
4,2,stochastic,saturate,34.55
4,3,stochastic,saturate,38.99
4,4,stochastic,saturate,40.58
4,5,stochastic,saturate,39.34
4,6,stochastic,saturate,41.65
4,7,stochastic,saturate,41.99
4,8,stochastic,saturate,42.09
5,0,stochastic,saturate,45.68
5,1,stochastic,saturate,31.36
5,2,stochastic,saturate,36.7
5,3,stochastic,saturate,42.7
5,4,stochastic,saturate,37.86
5,5,stochastic,saturate,41.76
5,6,stochastic,saturate,40.86
5,7,stochastic,saturate,42.18
5,8,stochastic,saturate,40.63
