m,n,rounding,overflow,acc
0,0,stochastic,wrap,9.8
0,1,stochastic,wrap,9.8
0,2,stochastic,wrap,10.56
0,3,stochastic,wrap,9.96
0,4,stochastic,wrap,9.59
0,5,stochastic,wrap,10.62
0,6,stochastic,wrap,10.22
0,7,stochastic,wrap,9.86
0,8,stochastic,wrap,9.61
1,0,stochastic,wrap,9.55
1,1,stochastic,wrap,9.6
1,2,stochastic,wrap,10.0
1,3,stochastic,wrap,10.01
1,4,stochastic,wrap,9.86
1,5,stochastic,wrap,9.88
1,6,stochastic,wrap,10.41
1,7,stochastic,wrap,10.17
1,8,stochastic,wrap,9.74
2,0,stochastic,wrap,10.92
2,1,stochastic,wrap,11.33
2,2,stochastic,wrap,11.34
2,3,stochastic,wrap,11.77
2,4,stochastic,wrap,12.26
2,5,stochastic,wrap,12.31
2,6,stochastic,wrap,12.72
2,7,stochastic,wrap,12.0
2,8,stochastic,wrap,12.33
3,0,stochastic,wrap,18.34
3,1,stochastic,wrap,14.98
3,2,stochastic,wrap,18.74
3,3,stochastic,wrap,19.46
3,4,stochastic,wrap,18.56
3,5,stochastic,wrap,18.6
3,6,stochastic,wrap,18.66
3,7,stochastic,wrap,19.77
3,8,stochastic,wrap,19.95
4,0,stochastic,wrap,37.74
4,1,stochastic,wrap,30.94
4,2,stochastic,wrap,32.47
4,3,stochastic,wrap,36.48
4,4,stochastic,wrap,38.23
4,5,stochastic,wrap,34.59
4,6,stochastic,wrap,39.41
4,7,stochastic,wrap,38.81
4,8,stochastic,wrap,37.78
5,0,stochastic,wrap,45.69
5,1,stochastic,wrap,31.28
5,2,stochastic,wrap,36.63
5,3,stochastic,wrap,42.63
5,4,stochastic,wrap,37.86
5,5,stochastic,wrap,41.71
5,6,stochastic,wrap,40.85
5,7,stochastic,wrap,42.26
5,8,stochastic,wrap,40.68
