m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,10.35
0,3,trunc,wrap,9.86
0,4,trunc,wrap,9.92
0,5,trunc,wrap,9.93
0,6,trunc,wrap,9.78
0,7,trunc,wrap,10.24
0,8,trunc,wrap,9.72
1,0,trunc,wrap,13.71
1,1,trunc,wrap,8.51
1,2,trunc,wrap,8.4
1,3,trunc,wrap,10.19
1,4,trunc,wrap,11.52
1,5,trunc,wrap,10.98
1,6,trunc,wrap,10.78
1,7,trunc,wrap,11.2
1,8,trunc,wrap,11.27
2,0,trunc,wrap,43.74
2,1,trunc,wrap,38.99
2,2,trunc,wrap,36.76
2,3,trunc,wrap,27.99
2,4,trunc,wrap,23.77
2,5,trunc,wrap,20.99
2,6,trunc,wrap,19.33
2,7,trunc,wrap,18.42
2,8,trunc,wrap,18.35
3,0,trunc,wrap,47.1
3,1,trunc,wrap,61.98
3,2,trunc,wrap,91.16
3,3,trunc,wrap,93.68
3,4,trunc,wrap,94.35
3,5,trunc,wrap,94.55
3,6,trunc,wrap,94.5
3,7,trunc,wrap,94.74
3,8,trunc,wrap,94.59
4,0,trunc,wrap,42.08
4,1,trunc,wrap,58.68
4,2,trunc,wrap,92.79
4,3,trunc,wrap,95.65
4,4,trunc,wrap,96.31
4,5,trunc,wrap,96.57
4,6,trunc,wrap,96.89
4,7,trunc,wrap,96.94
4,8,trunc,wrap,96.99
5,0,trunc,wrap,41.22
5,1,trunc,wrap,58.8
5,2,trunc,wrap,92.61
5,3,trunc,wrap,95.65
5,4,trunc,wrap,96.32
5,5,trunc,wrap,96.72
5,6,trunc,wrap,96.81
5,7,trunc,wrap,96.88
5,8,trunc,wrap,97.03
