m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,12.2
0,3,ceil,saturate,12.12
0,4,ceil,saturate,12.09
0,5,ceil,saturate,12.18
0,6,ceil,saturate,12.2
0,7,ceil,saturate,12.15
0,8,ceil,saturate,12.18
1,0,ceil,saturate,12.94
1,1,ceil,saturate,12.17
1,2,ceil,saturate,12.16
1,3,ceil,saturate,12.18
1,4,ceil,saturate,12.29
1,5,ceil,saturate,12.12
1,6,ceil,saturate,12.23
1,7,ceil,saturate,12.14
1,8,ceil,saturate,12.15
2,0,ceil,saturate,12.86
2,1,ceil,saturate,12.16
2,2,ceil,saturate,12.13
2,3,ceil,saturate,12.17
2,4,ceil,saturate,12.14
2,5,ceil,saturate,12.17
2,6,ceil,saturate,12.23
2,7,ceil,saturate,12.2
2,8,ceil,saturate,12.26
3,0,ceil,saturate,12.91
3,1,ceil,saturate,12.25
3,2,ceil,saturate,12.21
3,3,ceil,saturate,12.15
3,4,ceil,saturate,12.14
3,5,ceil,saturate,12.08
3,6,ceil,saturate,12.24
3,7,ceil,saturate,12.18
3,8,ceil,saturate,12.15
4,0,ceil,saturate,12.92
4,1,ceil,saturate,12.25
4,2,ceil,saturate,12.16
4,3,ceil,saturate,12.15
4,4,ceil,saturate,12.2
4,5,ceil,saturate,12.17
4,6,ceil,saturate,12.18
4,7,ceil,saturate,12.18
4,8,ceil,saturate,12.24
5,0,ceil,saturate,12.77
5,1,ceil,saturate,12.24
5,2,ceil,saturate,12.25
5,3,ceil,saturate,12.2
5,4,ceil,saturate,12.17
5,5,ceil,saturate,12.21
5,6,ceil,saturate,12.15
5,7,ceil,saturate,12.16
5,8,ceil,saturate,12.13
