m,n,rounding,overflow,acc
0,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,2,nearest,saturate,98.54
0,3,nearest,saturate,98.61
0,4,nearest,saturate,98.41
0,5,nearest,saturate,98.5
0,6,nearest,saturate,98.49
0,7,nearest,saturate,98.45
0,8,nearest,saturate,98.48
1,0,nearest,saturate,98.43
1,1,nearest,saturate,98.57
1,2,nearest,saturate,98.51
1,3,nearest,saturate,98.59
1,4,nearest,saturate,98.52
1,5,nearest,saturate,98.46
1,6,nearest,saturate,98.52
1,7,nearest,saturate,98.45
1,8,nearest,saturate,98.46
2,0,nearest,saturate,98.43
2,1,nearest,saturate,98.52
2,2,nearest,saturate,98.42
2,3,nearest,saturate,98.51
2,4,nearest,saturate,98.43
2,5,nearest,saturate,98.57
2,6,nearest,saturate,98.44
2,7,nearest,saturate,98.47
2,8,nearest,saturate,98.42
3,0,nearest,saturate,98.49
3,1,nearest,saturate,98.49
3,2,nearest,saturate,98.47
3,3,nearest,saturate,98.53
3,4,nearest,saturate,98.45
3,5,nearest,saturate,98.48
3,6,nearest,saturate,98.53
3,7,nearest,saturate,98.49
3,8,nearest,saturate,98.47
4,0,nearest,saturate,98.52
4,1,nearest,saturate,98.47
4,2,nearest,saturate,98.48
4,3,nearest,saturate,98.47
4,4,nearest,saturate,98.48
4,5,nearest,saturate,98.55
4,6,nearest,saturate,98.55
4,7,nearest,saturate,98.43
4,8,nearest,saturate,98.51
5,0,nearest,saturate,98.43
5,1,nearest,saturate,98.49
5,2,nearest,saturate,98.59
5,3,nearest,saturate,98.47
5,4,nearest,saturate,98.47
5,5,nearest,saturate,98.53
5,6,nearest,saturate,98.44
5,7,nearest,saturate,98.42
5,8,nearest,saturate,98.49
