m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,9.8
0,3,ceil,saturate,9.79
0,4,ceil,saturate,9.79
0,5,ceil,saturate,9.79
0,6,ceil,saturate,9.8
0,7,ceil,saturate,9.8
0,8,ceil,saturate,9.79
1,0,ceil,saturate,10.31
1,1,ceil,saturate,9.79
1,2,ceil,saturate,9.79
1,3,ceil,saturate,9.79
1,4,ceil,saturate,9.8
1,5,ceil,saturate,9.8
1,6,ceil,saturate,9.8
1,7,ceil,saturate,9.79
1,8,ceil,saturate,9.79
2,0,ceil,saturate,10.3
2,1,ceil,saturate,9.8
2,2,ceil,saturate,9.8
2,3,ceil,saturate,9.8
2,4,ceil,saturate,9.81
2,5,ceil,saturate,9.79
2,6,ceil,saturate,9.8
2,7,ceil,saturate,9.79
2,8,ceil,saturate,9.8
3,0,ceil,saturate,10.27
3,1,ceil,saturate,9.8
3,2,ceil,saturate,9.79
3,3,ceil,saturate,9.79
3,4,ceil,saturate,9.8
3,5,ceil,saturate,9.79
3,6,ceil,saturate,9.8
3,7,ceil,saturate,9.79
3,8,ceil,saturate,9.79
4,0,ceil,saturate,10.33
4,1,ceil,saturate,9.8
4,2,ceil,saturate,9.79
4,3,ceil,saturate,9.8
4,4,ceil,saturate,9.79
4,5,ceil,saturate,9.8
4,6,ceil,saturate,9.79
4,7,ceil,saturate,9.8
4,8,ceil,saturate,9.8
5,0,ceil,saturate,10.26
5,1,ceil,saturate,9.79
5,2,ceil,saturate,9.79
5,3,ceil,saturate,9.79
5,4,ceil,saturate,9.8
5,5,ceil,saturate,9.8
5,6,ceil,saturate,9.8
5,7,ceil,saturate,9.8
5,8,ceil,saturate,9.8
