m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.33
0,3,ceil,wrap,9.73
0,4,ceil,wrap,9.85
0,5,ceil,wrap,10.65
0,6,ceil,wrap,9.93
0,7,ceil,wrap,9.31
0,8,ceil,wrap,10.06
1,0,ceil,wrap,10.4
1,1,ceil,wrap,9.71
1,2,ceil,wrap,10.09
1,3,ceil,wrap,9.75
1,4,ceil,wrap,10.03
1,5,ceil,wrap,9.88
1,6,ceil,wrap,10.12
1,7,ceil,wrap,10.22
1,8,ceil,wrap,10.1
2,0,ceil,wrap,6.03
2,1,ceil,wrap,8.22
2,2,ceil,wrap,8.23
2,3,ceil,wrap,8.15
2,4,ceil,wrap,8.42
2,5,ceil,wrap,8.31
2,6,ceil,wrap,8.6
2,7,ceil,wrap,8.42
2,8,ceil,wrap,8.73
3,0,ceil,wrap,7.51
3,1,ceil,wrap,8.82
3,2,ceil,wrap,7.75
3,3,ceil,wrap,7.43
3,4,ceil,wrap,7.16
3,5,ceil,wrap,7.21
3,6,ceil,wrap,7.33
3,7,ceil,wrap,7.52
3,8,ceil,wrap,7.53
4,0,ceil,wrap,9.74
4,1,ceil,wrap,9.56
4,2,ceil,wrap,9.56
4,3,ceil,wrap,9.6
4,4,ceil,wrap,9.61
4,5,ceil,wrap,9.58
4,6,ceil,wrap,9.58
4,7,ceil,wrap,9.57
4,8,ceil,wrap,9.59
5,0,ceil,wrap,10.15
5,1,ceil,wrap,9.8
5,2,ceil,wrap,9.8
5,3,ceil,wrap,9.79
5,4,ceil,wrap,9.8
5,5,ceil,wrap,9.8
5,6,ceil,wrap,9.8
5,7,ceil,wrap,9.81
5,8,ceil,wrap,9.8
