m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,94.32
0,3,trunc,saturate,97.09
0,4,trunc,saturate,97.65
0,5,trunc,saturate,97.79
0,6,trunc,saturate,97.83
0,7,trunc,saturate,97.83
0,8,trunc,saturate,97.71
1,0,trunc,saturate,45.93
1,1,trunc,saturate,57.75
1,2,trunc,saturate,94.46
1,3,trunc,saturate,97.24
1,4,trunc,saturate,97.65
1,5,trunc,saturate,97.79
1,6,trunc,saturate,97.75
1,7,trunc,saturate,97.9
1,8,trunc,saturate,97.84
2,0,trunc,saturate,45.78
2,1,trunc,saturate,57.85
2,2,trunc,saturate,94.53
2,3,trunc,saturate,97.02
2,4,trunc,saturate,97.52
2,5,trunc,saturate,97.74
2,6,trunc,saturate,97.82
2,7,trunc,saturate,97.79
2,8,trunc,saturate,97.86
3,0,trunc,saturate,46.13
3,1,trunc,saturate,57.97
3,2,trunc,saturate,94.39
3,3,trunc,saturate,97.21
3,4,trunc,saturate,97.6
3,5,trunc,saturate,97.7
3,6,trunc,saturate,97.85
3,7,trunc,saturate,97.9
3,8,trunc,saturate,97.75
4,0,trunc,saturate,45.95
4,1,trunc,saturate,57.71
4,2,trunc,saturate,94.27
4,3,trunc,saturate,97.12
4,4,trunc,saturate,97.57
4,5,trunc,saturate,97.82
4,6,trunc,saturate,97.82
4,7,trunc,saturate,97.75
4,8,trunc,saturate,97.91
5,0,trunc,saturate,45.87
5,1,trunc,saturate,57.66
5,2,trunc,saturate,94.33
5,3,trunc,saturate,97.28
5,4,trunc,saturate,97.61
5,5,trunc,saturate,97.81
5,6,trunc,saturate,97.89
5,7,trunc,saturate,97.91
5,8,trunc,saturate,97.8
