m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.5
0,3,ceil,wrap,10.1
0,4,ceil,wrap,9.74
0,5,ceil,wrap,9.53
0,6,ceil,wrap,10.07
0,7,ceil,wrap,10.09
0,8,ceil,wrap,10.04
1,0,ceil,wrap,10.04
1,1,ceil,wrap,10.36
1,2,ceil,wrap,10.48
1,3,ceil,wrap,9.83
1,4,ceil,wrap,10.22
1,5,ceil,wrap,9.88
1,6,ceil,wrap,9.68
1,7,ceil,wrap,9.71
1,8,ceil,wrap,9.95
2,0,ceil,wrap,10.21
2,1,ceil,wrap,9.86
2,2,ceil,wrap,9.66
2,3,ceil,wrap,9.72
2,4,ceil,wrap,9.53
2,5,ceil,wrap,9.18
2,6,ceil,wrap,9.67
2,7,ceil,wrap,9.73
2,8,ceil,wrap,9.27
3,0,ceil,wrap,7.76
3,1,ceil,wrap,8.54
3,2,ceil,wrap,8.81
3,3,ceil,wrap,8.74
3,4,ceil,wrap,8.58
3,5,ceil,wrap,8.51
3,6,ceil,wrap,8.85
3,7,ceil,wrap,8.75
3,8,ceil,wrap,8.83
4,0,ceil,wrap,9.96
4,1,ceil,wrap,10.19
4,2,ceil,wrap,10.23
4,3,ceil,wrap,10.27
4,4,ceil,wrap,10.15
4,5,ceil,wrap,10.25
4,6,ceil,wrap,10.18
4,7,ceil,wrap,10.24
4,8,ceil,wrap,10.2
5,0,ceil,wrap,10.35
5,1,ceil,wrap,14.14
5,2,ceil,wrap,14.14
5,3,ceil,wrap,14.13
5,4,ceil,wrap,14.19
5,5,ceil,wrap,14.13
5,6,ceil,wrap,14.28
5,7,ceil,wrap,14.23
5,8,ceil,wrap,14.25
