m,n,rounding,overflow,acc
5,6,floor,wrap,96.62
5,8,floor,wrap,96.61
5,5,floor,wrap,96.55
5,7,floor,wrap,96.55
4,5,floor,wrap,96.52
4,7,floor,wrap,96.52
4,8,floor,wrap,96.48
5,4,floor,wrap,96.41
4,4,floor,wrap,96.36
4,6,floor,wrap,96.25
4,3,floor,wrap,96.17
5,2,floor,wrap,96.16
5,3,floor,wrap,96.02
4,2,floor,wrap,95.97
3,3,floor,wrap,90.25
3,2,floor,wrap,90.17
3,4,floor,wrap,90.17
3,7,floor,wrap,90.1
3,8,floor,wrap,89.98
3,5,floor,wrap,89.97
3,6,floor,wrap,89.92
2,2,floor,wrap,18.43
2,3,floor,wrap,17.15
2,4,floor,wrap,16.54
2,5,floor,wrap,15.76
2,6,floor,wrap,15.59
2,7,floor,wrap,15.45
2,8,floor,wrap,15.09
3,0,floor,wrap,10.89
0,2,floor,wrap,10.68
0,6,floor,wrap,10.34
2,1,floor,wrap,10.25
0,5,floor,wrap,10.14
0,4,floor,wrap,10.04
1,1,floor,wrap,9.94
1,8,floor,wrap,9.92
0,7,floor,wrap,9.88
2,0,floor,wrap,9.88
1,0,floor,wrap,9.81
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
4,1,floor,wrap,9.8
5,0,floor,wrap,9.8
5,1,floor,wrap,9.8
1,7,floor,wrap,9.69
0,8,floor,wrap,9.64
0,3,floor,wrap,9.59
1,5,floor,wrap,9.29
1,6,floor,wrap,9.27
1,2,floor,wrap,9.14
1,3,floor,wrap,8.97
1,4,floor,wrap,8.89
3,1,floor,wrap,4.27
4,0,floor,wrap,3.81
