m,n,rounding,overflow,acc
5,3,ceil,saturate,98.06
3,3,ceil,saturate,98.05
3,6,ceil,saturate,98.04
3,8,ceil,saturate,98.04
5,6,ceil,saturate,98.02
5,4,ceil,saturate,98.02
3,4,ceil,saturate,98.02
4,4,ceil,saturate,98.01
4,8,ceil,saturate,98.01
4,7,ceil,saturate,98.01
5,5,ceil,saturate,98.01
4,3,ceil,saturate,98.0
4,6,ceil,saturate,98.0
3,7,ceil,saturate,97.99
5,8,ceil,saturate,97.99
2,5,ceil,saturate,97.98
3,5,ceil,saturate,97.98
2,7,ceil,saturate,97.97
4,5,ceil,saturate,97.95
2,6,ceil,saturate,97.92
5,7,ceil,saturate,97.91
2,8,ceil,saturate,97.9
2,4,ceil,saturate,97.88
2,3,ceil,saturate,97.86
1,8,ceil,saturate,89.73
1,6,ceil,saturate,89.65
1,4,ceil,saturate,89.65
1,5,ceil,saturate,89.59
1,7,ceil,saturate,89.52
1,3,ceil,saturate,88.82
0,8,ceil,saturate,35.09
0,5,ceil,saturate,34.84
0,4,ceil,saturate,34.82
0,6,ceil,saturate,34.75
0,7,ceil,saturate,34.46
0,3,ceil,saturate,32.53
0,2,ceil,saturate,16.08
3,2,ceil,saturate,11.46
4,2,ceil,saturate,11.45
5,2,ceil,saturate,11.43
2,2,ceil,saturate,11.41
1,2,ceil,saturate,11.38
0,1,ceil,saturate,9.8
0,0,ceil,saturate,9.8
1,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
2,0,ceil,saturate,9.8
2,1,ceil,saturate,9.8
3,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,0,ceil,saturate,9.8
5,0,ceil,saturate,9.8
5,1,ceil,saturate,9.8
