m,n,rounding,overflow,acc
5,6,ceil,wrap,97.12
4,8,ceil,wrap,97.1
5,3,ceil,wrap,97.09
4,2,ceil,wrap,97.07
4,4,ceil,wrap,97.06
5,5,ceil,wrap,96.99
5,4,ceil,wrap,96.98
4,6,ceil,wrap,96.98
5,2,ceil,wrap,96.97
4,7,ceil,wrap,96.96
4,5,ceil,wrap,96.94
4,3,ceil,wrap,96.92
5,8,ceil,wrap,96.88
5,7,ceil,wrap,96.82
3,2,ceil,wrap,84.9
3,3,ceil,wrap,84.27
3,4,ceil,wrap,83.88
3,7,ceil,wrap,83.51
3,5,ceil,wrap,83.49
3,8,ceil,wrap,83.35
3,6,ceil,wrap,83.22
0,2,ceil,wrap,10.53
1,3,ceil,wrap,10.48
1,5,ceil,wrap,10.37
0,3,ceil,wrap,10.37
2,2,ceil,wrap,10.36
1,8,ceil,wrap,10.27
0,7,ceil,wrap,10.26
0,5,ceil,wrap,10.25
5,0,ceil,wrap,10.21
1,4,ceil,wrap,10.15
1,7,ceil,wrap,10.13
2,4,ceil,wrap,10.12
0,8,ceil,wrap,10.07
2,5,ceil,wrap,10.07
1,6,ceil,wrap,10.03
2,6,ceil,wrap,9.97
0,6,ceil,wrap,9.96
0,4,ceil,wrap,9.93
1,2,ceil,wrap,9.92
1,0,ceil,wrap,9.9
2,8,ceil,wrap,9.83
1,1,ceil,wrap,9.82
0,1,ceil,wrap,9.8
2,0,ceil,wrap,9.8
0,0,ceil,wrap,9.8
5,1,ceil,wrap,9.8
3,0,ceil,wrap,9.65
2,3,ceil,wrap,9.62
2,7,ceil,wrap,9.6
3,1,ceil,wrap,9.3
4,1,ceil,wrap,9.14
2,1,ceil,wrap,8.9
4,0,ceil,wrap,5.06
