m,n,rounding,overflow,acc
4,8,floor,saturate,98.1
4,7,floor,saturate,98.1
5,5,floor,saturate,98.09
4,4,floor,saturate,98.06
4,6,floor,saturate,98.06
3,5,floor,saturate,98.04
3,4,floor,saturate,98.02
5,8,floor,saturate,98.02
5,3,floor,saturate,98.0
2,6,floor,saturate,98.0
5,4,floor,saturate,97.99
3,8,floor,saturate,97.98
4,3,floor,saturate,97.98
3,6,floor,saturate,97.97
4,5,floor,saturate,97.97
5,7,floor,saturate,97.97
5,6,floor,saturate,97.95
3,3,floor,saturate,97.95
2,8,floor,saturate,97.93
2,5,floor,saturate,97.93
2,7,floor,saturate,97.91
3,7,floor,saturate,97.9
2,3,floor,saturate,97.88
2,4,floor,saturate,97.84
1,7,floor,saturate,89.78
1,8,floor,saturate,89.76
1,6,floor,saturate,89.65
1,4,floor,saturate,89.63
1,5,floor,saturate,89.54
1,3,floor,saturate,88.65
0,7,floor,saturate,35.05
0,4,floor,saturate,34.92
0,6,floor,saturate,34.86
0,8,floor,saturate,34.84
0,5,floor,saturate,34.74
0,3,floor,saturate,32.59
0,2,floor,saturate,12.87
1,2,floor,saturate,11.32
2,2,floor,saturate,9.96
3,2,floor,saturate,9.92
5,2,floor,saturate,9.9
4,2,floor,saturate,9.88
0,1,floor,saturate,9.8
0,0,floor,saturate,9.8
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
4,1,floor,saturate,9.8
4,0,floor,saturate,9.8
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
