m,n,rounding,overflow,acc
5,7,floor,wrap,97.05
4,6,floor,wrap,97.04
5,6,floor,wrap,97.02
4,5,floor,wrap,96.96
4,7,floor,wrap,96.94
5,5,floor,wrap,96.92
4,3,floor,wrap,96.92
4,8,floor,wrap,96.9
5,4,floor,wrap,96.9
5,8,floor,wrap,96.85
4,4,floor,wrap,96.84
4,2,floor,wrap,96.82
5,2,floor,wrap,96.81
5,3,floor,wrap,96.8
3,5,floor,wrap,83.83
3,8,floor,wrap,83.37
3,7,floor,wrap,83.36
3,6,floor,wrap,83.22
3,2,floor,wrap,83.15
3,3,floor,wrap,83.15
3,4,floor,wrap,82.97
4,0,floor,wrap,16.39
3,1,floor,wrap,14.61
1,8,floor,wrap,10.82
0,7,floor,wrap,10.44
1,2,floor,wrap,10.4
1,6,floor,wrap,10.36
1,1,floor,wrap,10.35
0,2,floor,wrap,10.26
1,4,floor,wrap,10.19
2,2,floor,wrap,10.18
2,7,floor,wrap,10.12
0,8,floor,wrap,10.11
1,3,floor,wrap,10.06
1,0,floor,wrap,10.05
0,6,floor,wrap,10.03
2,4,floor,wrap,10.02
0,4,floor,wrap,9.96
1,7,floor,wrap,9.9
2,5,floor,wrap,9.87
0,3,floor,wrap,9.86
1,5,floor,wrap,9.84
2,0,floor,wrap,9.81
0,5,floor,wrap,9.81
0,1,floor,wrap,9.8
0,0,floor,wrap,9.8
2,8,floor,wrap,9.64
2,3,floor,wrap,9.53
5,1,floor,wrap,9.53
2,6,floor,wrap,9.48
2,1,floor,wrap,9.45
3,0,floor,wrap,8.98
5,0,floor,wrap,8.86
4,1,floor,wrap,8.52
