m,n,rounding,overflow,acc
5,5,trunc,saturate,97.08
4,7,trunc,saturate,97.05
3,6,trunc,saturate,97.02
2,7,trunc,saturate,97.01
5,6,trunc,saturate,96.98
4,8,trunc,saturate,96.97
5,7,trunc,saturate,96.97
5,8,trunc,saturate,96.95
4,3,trunc,saturate,96.95
4,5,trunc,saturate,96.94
5,4,trunc,saturate,96.94
3,8,trunc,saturate,96.94
3,5,trunc,saturate,96.93
4,6,trunc,saturate,96.92
5,3,trunc,saturate,96.86
3,7,trunc,saturate,96.86
4,2,trunc,saturate,96.85
5,2,trunc,saturate,96.85
3,4,trunc,saturate,96.85
3,2,trunc,saturate,96.82
4,4,trunc,saturate,96.81
2,8,trunc,saturate,96.8
2,4,trunc,saturate,96.79
2,2,trunc,saturate,96.76
2,5,trunc,saturate,96.74
2,6,trunc,saturate,96.73
3,3,trunc,saturate,96.67
2,3,trunc,saturate,96.6
1,6,trunc,saturate,91.15
1,7,trunc,saturate,91.13
1,4,trunc,saturate,91.03
1,8,trunc,saturate,91.03
1,5,trunc,saturate,91.01
1,3,trunc,saturate,90.91
1,2,trunc,saturate,89.36
0,7,trunc,saturate,34.98
0,8,trunc,saturate,34.89
0,4,trunc,saturate,34.83
0,5,trunc,saturate,34.77
0,3,trunc,saturate,34.49
0,6,trunc,saturate,34.48
0,2,trunc,saturate,26.78
4,1,trunc,saturate,10.02
2,1,trunc,saturate,10.01
3,1,trunc,saturate,10.01
5,1,trunc,saturate,10.0
1,1,trunc,saturate,9.99
1,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,0,trunc,saturate,9.8
2,0,trunc,saturate,9.8
3,0,trunc,saturate,9.8
4,0,trunc,saturate,9.8
5,0,trunc,saturate,9.8
