m,n,rounding,overflow,acc
4,5,trunc,wrap,97.05
5,6,trunc,wrap,97.03
5,4,trunc,wrap,97.01
4,4,trunc,wrap,96.99
4,7,trunc,wrap,96.98
4,6,trunc,wrap,96.95
4,8,trunc,wrap,96.94
5,8,trunc,wrap,96.91
4,3,trunc,wrap,96.85
5,3,trunc,wrap,96.85
5,5,trunc,wrap,96.84
4,2,trunc,wrap,96.83
5,2,trunc,wrap,96.82
5,7,trunc,wrap,96.8
3,2,trunc,wrap,84.77
3,3,trunc,wrap,84.27
3,4,trunc,wrap,83.82
3,7,trunc,wrap,83.53
3,5,trunc,wrap,83.47
3,6,trunc,wrap,83.26
3,8,trunc,wrap,83.22
2,1,trunc,wrap,10.96
1,7,trunc,wrap,10.53
2,3,trunc,wrap,10.49
2,2,trunc,wrap,10.48
1,4,trunc,wrap,10.39
0,3,trunc,wrap,10.36
1,3,trunc,wrap,10.29
0,2,trunc,wrap,10.27
3,1,trunc,wrap,10.26
2,8,trunc,wrap,10.25
0,6,trunc,wrap,10.24
2,6,trunc,wrap,10.22
1,6,trunc,wrap,10.17
2,4,trunc,wrap,10.14
1,2,trunc,wrap,10.1
4,1,trunc,wrap,10.09
0,7,trunc,wrap,10.08
5,1,trunc,wrap,9.99
1,1,trunc,wrap,9.96
0,5,trunc,wrap,9.91
2,7,trunc,wrap,9.91
0,8,trunc,wrap,9.82
0,1,trunc,wrap,9.8
1,0,trunc,wrap,9.8
0,0,trunc,wrap,9.8
3,0,trunc,wrap,9.8
4,0,trunc,wrap,9.8
5,0,trunc,wrap,9.8
2,0,trunc,wrap,9.8
1,8,trunc,wrap,9.76
1,5,trunc,wrap,9.7
2,5,trunc,wrap,9.67
0,4,trunc,wrap,9.66
