m,n,rounding,overflow,acc
4,7,ceil,saturate,98.43
3,5,ceil,saturate,98.35
2,8,ceil,saturate,98.33
4,3,ceil,saturate,98.33
4,5,ceil,saturate,98.33
5,6,ceil,saturate,98.33
5,5,ceil,saturate,98.32
3,4,ceil,saturate,98.31
4,6,ceil,saturate,98.31
5,8,ceil,saturate,98.3
3,6,ceil,saturate,98.29
3,8,ceil,saturate,98.29
2,4,ceil,saturate,98.28
4,8,ceil,saturate,98.28
3,3,ceil,saturate,98.28
3,7,ceil,saturate,98.28
5,4,ceil,saturate,98.28
5,3,ceil,saturate,98.28
2,5,ceil,saturate,98.27
5,7,ceil,saturate,98.26
4,4,ceil,saturate,98.23
2,6,ceil,saturate,98.23
2,7,ceil,saturate,98.21
2,3,ceil,saturate,98.21
1,5,ceil,saturate,91.37
1,7,ceil,saturate,91.32
1,4,ceil,saturate,91.27
1,8,ceil,saturate,91.26
1,6,ceil,saturate,91.24
1,3,ceil,saturate,90.66
0,7,ceil,saturate,43.34
0,8,ceil,saturate,43.14
0,5,ceil,saturate,43.13
0,4,ceil,saturate,43.08
0,6,ceil,saturate,42.99
0,3,ceil,saturate,38.34
0,2,ceil,saturate,12.88
1,2,ceil,saturate,11.37
2,2,ceil,saturate,9.8
2,1,ceil,saturate,9.8
2,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
1,0,ceil,saturate,9.8
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
3,0,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
3,2,ceil,saturate,9.8
5,0,ceil,saturate,9.8
4,2,ceil,saturate,9.8
5,1,ceil,saturate,9.8
5,2,ceil,saturate,9.8
