m,n,rounding,overflow,acc
4,8,ceil,wrap,97.82
4,5,ceil,wrap,97.8
4,7,ceil,wrap,97.77
5,2,ceil,wrap,97.77
5,7,ceil,wrap,97.76
5,3,ceil,wrap,97.75
5,6,ceil,wrap,97.72
5,8,ceil,wrap,97.72
4,4,ceil,wrap,97.7
4,6,ceil,wrap,97.69
4,3,ceil,wrap,97.67
4,2,ceil,wrap,97.64
5,5,ceil,wrap,97.63
5,4,ceil,wrap,97.6
3,2,ceil,wrap,91.53
3,5,ceil,wrap,91.24
3,3,ceil,wrap,91.02
3,4,ceil,wrap,91.0
3,8,ceil,wrap,91.0
3,7,ceil,wrap,90.94
3,6,ceil,wrap,90.76
4,1,ceil,wrap,19.81
3,1,ceil,wrap,18.44
5,1,ceil,wrap,11.35
0,5,ceil,wrap,10.28
0,6,ceil,wrap,10.25
0,2,ceil,wrap,10.24
0,8,ceil,wrap,10.22
0,4,ceil,wrap,10.12
1,5,ceil,wrap,10.1
1,0,ceil,wrap,10.01
0,3,ceil,wrap,10.01
1,1,ceil,wrap,9.89
0,7,ceil,wrap,9.84
1,7,ceil,wrap,9.84
1,8,ceil,wrap,9.82
0,1,ceil,wrap,9.8
0,0,ceil,wrap,9.8
5,0,ceil,wrap,9.8
1,6,ceil,wrap,9.8
2,0,ceil,wrap,9.73
1,4,ceil,wrap,9.63
1,2,ceil,wrap,9.38
1,3,ceil,wrap,9.29
2,1,ceil,wrap,9.17
3,0,ceil,wrap,8.23
4,0,ceil,wrap,5.52
2,6,ceil,wrap,3.97
2,4,ceil,wrap,3.86
2,8,ceil,wrap,3.78
2,7,ceil,wrap,3.74
2,5,ceil,wrap,3.64
2,3,ceil,wrap,3.48
2,2,ceil,wrap,3.28
