m,n,rounding,overflow,acc
3,8,floor,saturate,97.82
5,7,floor,saturate,97.79
4,4,floor,saturate,97.78
2,7,floor,saturate,97.77
5,6,floor,saturate,97.76
4,6,floor,saturate,97.76
3,7,floor,saturate,97.74
2,4,floor,saturate,97.73
2,8,floor,saturate,97.72
3,2,floor,saturate,97.72
4,8,floor,saturate,97.71
3,6,floor,saturate,97.71
5,5,floor,saturate,97.7
5,2,floor,saturate,97.7
2,2,floor,saturate,97.7
4,7,floor,saturate,97.69
5,8,floor,saturate,97.69
4,5,floor,saturate,97.68
5,4,floor,saturate,97.67
4,2,floor,saturate,97.66
4,3,floor,saturate,97.66
2,5,floor,saturate,97.65
3,3,floor,saturate,97.65
5,3,floor,saturate,97.65
2,6,floor,saturate,97.63
2,3,floor,saturate,97.62
3,4,floor,saturate,97.61
3,5,floor,saturate,97.61
1,5,floor,saturate,94.44
1,6,floor,saturate,94.31
1,4,floor,saturate,94.28
1,8,floor,saturate,94.28
1,3,floor,saturate,94.18
1,7,floor,saturate,94.15
1,2,floor,saturate,92.94
0,3,floor,saturate,54.35
0,4,floor,saturate,54.24
0,5,floor,saturate,54.23
0,7,floor,saturate,53.98
0,8,floor,saturate,53.83
0,6,floor,saturate,53.37
0,2,floor,saturate,42.18
0,1,floor,saturate,9.8
0,0,floor,saturate,9.8
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
4,1,floor,saturate,9.8
4,0,floor,saturate,9.8
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
