m,n,rounding,overflow,acc
5,3,trunc,wrap,98.38
5,8,trunc,wrap,98.35
4,3,trunc,wrap,98.33
4,6,trunc,wrap,98.33
4,8,trunc,wrap,98.33
4,4,trunc,wrap,98.32
5,6,trunc,wrap,98.31
4,7,trunc,wrap,98.3
5,7,trunc,wrap,98.3
5,4,trunc,wrap,98.29
4,5,trunc,wrap,98.29
5,5,trunc,wrap,98.21
3,8,trunc,wrap,94.67
3,3,trunc,wrap,94.63
3,7,trunc,wrap,94.59
3,6,trunc,wrap,94.5
3,4,trunc,wrap,94.49
3,5,trunc,wrap,94.45
2,2,trunc,wrap,12.82
3,2,trunc,wrap,11.12
5,2,trunc,wrap,10.99
4,2,trunc,wrap,10.92
0,7,trunc,wrap,10.3
0,4,trunc,wrap,10.29
0,5,trunc,wrap,10.2
0,3,trunc,wrap,10.08
1,6,trunc,wrap,10.08
1,5,trunc,wrap,10.07
1,8,trunc,wrap,10.02
0,8,trunc,wrap,10.01
1,4,trunc,wrap,10.0
0,2,trunc,wrap,9.99
0,6,trunc,wrap,9.99
1,7,trunc,wrap,9.87
0,1,trunc,wrap,9.8
1,1,trunc,wrap,9.8
2,0,trunc,wrap,9.8
0,0,trunc,wrap,9.8
5,0,trunc,wrap,9.8
4,1,trunc,wrap,9.8
5,1,trunc,wrap,9.8
2,1,trunc,wrap,9.8
1,0,trunc,wrap,9.8
3,0,trunc,wrap,9.8
3,1,trunc,wrap,9.8
4,0,trunc,wrap,9.8
1,2,trunc,wrap,9.57
1,3,trunc,wrap,9.54
2,6,trunc,wrap,4.12
2,5,trunc,wrap,4.09
2,4,trunc,wrap,3.91
2,7,trunc,wrap,3.88
2,8,trunc,wrap,3.85
2,3,trunc,wrap,3.78
