m,n,rounding,overflow,acc
4,3,stochastic,saturate,97.82
4,6,stochastic,saturate,97.75
4,2,stochastic,saturate,97.74
5,7,stochastic,saturate,97.73
5,8,stochastic,saturate,97.72
3,3,stochastic,saturate,97.71
2,5,stochastic,saturate,97.7
3,2,stochastic,saturate,97.7
4,4,stochastic,saturate,97.7
5,5,stochastic,saturate,97.7
2,6,stochastic,saturate,97.68
5,4,stochastic,saturate,97.68
3,8,stochastic,saturate,97.67
3,5,stochastic,saturate,97.67
5,6,stochastic,saturate,97.67
3,6,stochastic,saturate,97.66
5,3,stochastic,saturate,97.66
4,7,stochastic,saturate,97.66
5,2,stochastic,saturate,97.65
2,7,stochastic,saturate,97.64
4,8,stochastic,saturate,97.64
4,5,stochastic,saturate,97.64
3,7,stochastic,saturate,97.64
3,4,stochastic,saturate,97.61
2,4,stochastic,saturate,97.6
2,8,stochastic,saturate,97.58
2,3,stochastic,saturate,97.57
2,2,stochastic,saturate,97.41
1,8,stochastic,saturate,90.49
1,6,stochastic,saturate,90.4
1,5,stochastic,saturate,90.27
1,3,stochastic,saturate,90.26
1,7,stochastic,saturate,90.24
1,4,stochastic,saturate,90.15
1,2,stochastic,saturate,88.98
4,1,stochastic,saturate,56.16
5,1,stochastic,saturate,55.74
3,1,stochastic,saturate,55.55
2,1,stochastic,saturate,55.2
0,5,stochastic,saturate,52.12
0,4,stochastic,saturate,51.93
0,6,stochastic,saturate,51.87
0,7,stochastic,saturate,51.85
0,8,stochastic,saturate,51.78
0,3,stochastic,saturate,51.39
1,1,stochastic,saturate,47.1
0,2,stochastic,saturate,34.93
2,0,stochastic,saturate,34.87
3,0,stochastic,saturate,33.95
5,0,stochastic,saturate,33.79
4,0,stochastic,saturate,33.59
1,0,stochastic,saturate,30.44
0,1,stochastic,saturate,9.8
0,0,stochastic,saturate,9.8
