m,n,rounding,overflow,acc
5,3,nearest,saturate,98.68
4,3,nearest,saturate,98.63
3,3,nearest,saturate,98.61
3,5,nearest,saturate,98.58
5,6,nearest,saturate,98.58
4,8,nearest,saturate,98.57
3,4,nearest,saturate,98.57
3,7,nearest,saturate,98.57
5,8,nearest,saturate,98.57
5,7,nearest,saturate,98.57
5,4,nearest,saturate,98.57
2,8,nearest,saturate,98.56
4,4,nearest,saturate,98.55
4,7,nearest,saturate,98.54
3,8,nearest,saturate,98.53
4,6,nearest,saturate,98.53
2,6,nearest,saturate,98.52
4,5,nearest,saturate,98.52
5,5,nearest,saturate,98.51
3,6,nearest,saturate,98.5
2,3,nearest,saturate,98.5
2,4,nearest,saturate,98.47
2,5,nearest,saturate,98.46
2,7,nearest,saturate,98.41
4,2,nearest,saturate,93.33
5,2,nearest,saturate,93.23
3,2,nearest,saturate,92.9
2,2,nearest,saturate,92.88
1,7,nearest,saturate,91.43
1,5,nearest,saturate,91.41
1,4,nearest,saturate,91.37
1,8,nearest,saturate,91.3
1,6,nearest,saturate,91.19
1,3,nearest,saturate,90.74
1,2,nearest,saturate,90.19
0,4,nearest,saturate,49.52
0,5,nearest,saturate,49.41
0,6,nearest,saturate,49.29
0,8,nearest,saturate,49.26
0,7,nearest,saturate,49.16
0,3,nearest,saturate,45.13
0,2,nearest,saturate,29.48
1,1,nearest,saturate,19.92
5,1,nearest,saturate,19.91
2,1,nearest,saturate,19.83
3,1,nearest,saturate,19.8
4,1,nearest,saturate,19.44
1,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,0,nearest,saturate,9.8
2,0,nearest,saturate,9.8
3,0,nearest,saturate,9.8
4,0,nearest,saturate,9.8
5,0,nearest,saturate,9.8
