m,n,rounding,overflow,acc
5,5,nearest,wrap,98.65
4,8,nearest,wrap,98.61
4,5,nearest,wrap,98.57
5,4,nearest,wrap,98.55
5,3,nearest,wrap,98.55
5,6,nearest,wrap,98.55
4,4,nearest,wrap,98.53
4,3,nearest,wrap,98.53
4,6,nearest,wrap,98.52
5,8,nearest,wrap,98.51
4,7,nearest,wrap,98.51
5,7,nearest,wrap,98.5
4,2,nearest,wrap,93.36
5,2,nearest,wrap,92.96
3,3,nearest,wrap,77.52
3,4,nearest,wrap,76.94
3,5,nearest,wrap,76.9
3,6,nearest,wrap,76.3
3,8,nearest,wrap,76.12
3,7,nearest,wrap,76.09
3,2,nearest,wrap,74.87
3,1,nearest,wrap,20.32
4,1,nearest,wrap,19.81
5,1,nearest,wrap,19.63
2,2,nearest,wrap,10.4
0,2,nearest,wrap,10.36
2,1,nearest,wrap,10.34
1,8,nearest,wrap,10.16
1,4,nearest,wrap,10.13
1,1,nearest,wrap,10.11
0,4,nearest,wrap,10.07
1,7,nearest,wrap,10.02
1,6,nearest,wrap,9.94
0,8,nearest,wrap,9.9
1,2,nearest,wrap,9.89
1,3,nearest,wrap,9.84
0,5,nearest,wrap,9.82
0,0,nearest,wrap,9.8
3,0,nearest,wrap,9.8
4,0,nearest,wrap,9.8
5,0,nearest,wrap,9.8
1,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
2,0,nearest,wrap,9.8
0,7,nearest,wrap,9.79
1,5,nearest,wrap,9.78
0,6,nearest,wrap,9.73
0,3,nearest,wrap,9.34
2,3,nearest,wrap,8.23
2,8,nearest,wrap,7.93
2,5,nearest,wrap,7.86
2,7,nearest,wrap,7.61
2,4,nearest,wrap,7.6
2,6,nearest,wrap,7.56
