m,n,rounding,overflow,acc
5,5,stochastic,wrap,98.59
5,4,stochastic,wrap,98.59
5,7,stochastic,wrap,98.58
5,3,stochastic,wrap,98.57
4,7,stochastic,wrap,98.56
4,6,stochastic,wrap,98.55
4,8,stochastic,wrap,98.54
4,3,stochastic,wrap,98.51
5,8,stochastic,wrap,98.51
4,5,stochastic,wrap,98.51
5,6,stochastic,wrap,98.5
4,4,stochastic,wrap,98.49
3,3,stochastic,wrap,77.39
5,2,stochastic,wrap,76.94
3,4,stochastic,wrap,76.76
3,6,stochastic,wrap,76.43
3,7,stochastic,wrap,76.38
3,5,stochastic,wrap,76.37
3,8,stochastic,wrap,76.18
4,2,stochastic,wrap,60.03
5,1,stochastic,wrap,26.3
3,2,stochastic,wrap,14.29
4,1,stochastic,wrap,14.04
3,1,stochastic,wrap,12.29
1,2,stochastic,wrap,10.69
1,3,stochastic,wrap,10.5
4,0,stochastic,wrap,10.48
1,6,stochastic,wrap,10.48
2,0,stochastic,wrap,10.37
1,5,stochastic,wrap,10.23
0,5,stochastic,wrap,10.18
1,7,stochastic,wrap,10.17
3,0,stochastic,wrap,10.14
0,7,stochastic,wrap,10.12
1,4,stochastic,wrap,10.12
1,1,stochastic,wrap,10.06
0,6,stochastic,wrap,10.06
2,1,stochastic,wrap,9.98
1,0,stochastic,wrap,9.9
0,2,stochastic,wrap,9.88
0,1,stochastic,wrap,9.8
0,0,stochastic,wrap,9.8
2,2,stochastic,wrap,9.7
0,4,stochastic,wrap,9.64
0,8,stochastic,wrap,9.64
0,3,stochastic,wrap,9.61
1,8,stochastic,wrap,9.6
2,6,stochastic,wrap,8.25
2,4,stochastic,wrap,8.23
5,0,stochastic,wrap,8.19
2,8,stochastic,wrap,7.82
2,7,stochastic,wrap,7.69
2,3,stochastic,wrap,7.64
2,5,stochastic,wrap,7.44
