m,n,rounding,overflow,acc
3,2,nearest,saturate,98.18
4,3,nearest,saturate,98.14
5,8,nearest,saturate,98.13
5,7,nearest,saturate,98.1
3,5,nearest,saturate,98.09
4,2,nearest,saturate,98.09
5,4,nearest,saturate,98.09
3,7,nearest,saturate,98.09
5,3,nearest,saturate,98.08
3,3,nearest,saturate,98.06
3,4,nearest,saturate,98.05
4,5,nearest,saturate,98.04
3,6,nearest,saturate,98.03
4,4,nearest,saturate,98.03
4,8,nearest,saturate,98.03
3,8,nearest,saturate,98.02
5,6,nearest,saturate,98.02
5,5,nearest,saturate,98.01
4,6,nearest,saturate,97.99
5,2,nearest,saturate,97.99
4,7,nearest,saturate,97.95
2,8,nearest,saturate,97.82
2,6,nearest,saturate,97.77
2,4,nearest,saturate,97.76
2,7,nearest,saturate,97.75
2,5,nearest,saturate,97.74
2,3,nearest,saturate,97.71
2,2,nearest,saturate,97.69
1,5,nearest,saturate,89.6
1,3,nearest,saturate,89.53
1,6,nearest,saturate,89.52
1,4,nearest,saturate,89.5
1,8,nearest,saturate,89.38
1,7,nearest,saturate,89.24
1,2,nearest,saturate,88.1
0,7,nearest,saturate,53.87
0,6,nearest,saturate,53.8
0,3,nearest,saturate,53.68
0,4,nearest,saturate,53.65
0,8,nearest,saturate,53.41
0,5,nearest,saturate,53.15
0,2,nearest,saturate,42.17
5,1,nearest,saturate,16.77
2,1,nearest,saturate,16.77
4,1,nearest,saturate,16.69
3,1,nearest,saturate,16.68
1,1,nearest,saturate,16.61
1,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,0,nearest,saturate,9.8
2,0,nearest,saturate,9.8
3,0,nearest,saturate,9.8
4,0,nearest,saturate,9.8
5,0,nearest,saturate,9.8
