m,n,rounding,overflow,acc
5,7,stochastic,wrap,98.11
5,4,stochastic,wrap,98.07
5,8,stochastic,wrap,98.06
5,3,stochastic,wrap,98.05
5,5,stochastic,wrap,98.01
5,2,stochastic,wrap,97.98
5,6,stochastic,wrap,97.98
4,7,stochastic,wrap,97.71
4,8,stochastic,wrap,97.7
4,4,stochastic,wrap,97.67
4,2,stochastic,wrap,97.66
4,5,stochastic,wrap,97.65
4,6,stochastic,wrap,97.63
4,3,stochastic,wrap,97.51
5,1,stochastic,wrap,50.34
3,2,stochastic,wrap,35.35
3,3,stochastic,wrap,34.87
3,5,stochastic,wrap,34.42
3,7,stochastic,wrap,34.17
3,8,stochastic,wrap,34.08
3,4,stochastic,wrap,33.95
3,6,stochastic,wrap,33.71
4,1,stochastic,wrap,14.48
5,0,stochastic,wrap,11.52
1,6,stochastic,wrap,10.96
0,5,stochastic,wrap,10.67
1,2,stochastic,wrap,10.65
0,4,stochastic,wrap,10.53
1,7,stochastic,wrap,10.52
0,8,stochastic,wrap,10.2
1,5,stochastic,wrap,10.14
1,4,stochastic,wrap,10.14
1,0,stochastic,wrap,10.12
1,3,stochastic,wrap,10.07
0,2,stochastic,wrap,10.05
0,7,stochastic,wrap,10.04
1,8,stochastic,wrap,10.01
0,3,stochastic,wrap,10.01
0,6,stochastic,wrap,9.86
0,1,stochastic,wrap,9.8
0,0,stochastic,wrap,9.8
2,0,stochastic,wrap,9.73
1,1,stochastic,wrap,9.57
2,4,stochastic,wrap,9.12
2,8,stochastic,wrap,9.02
2,7,stochastic,wrap,8.99
2,6,stochastic,wrap,8.99
2,3,stochastic,wrap,8.8
2,5,stochastic,wrap,8.71
2,2,stochastic,wrap,8.67
3,0,stochastic,wrap,8.64
3,1,stochastic,wrap,8.58
2,1,stochastic,wrap,7.89
4,0,stochastic,wrap,7.35
