m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,6,ceil,wrap,97.76,10000,9776,189.63109397888184,52.733967780166076
5,5,ceil,wrap,97.71,10000,9771,195.3119077682495,51.20015525047076
5,8,ceil,wrap,97.66,10000,9766,201.00459933280945,49.750105386607075
5,3,ceil,wrap,97.66,10000,9766,196.73079633712769,50.83088253688305
5,4,ceil,wrap,97.64,10000,9764,195.87890791893005,51.05194891192052
5,7,ceil,wrap,97.63,10000,9763,204.12631726264954,48.989273573838055
5,2,ceil,wrap,97.6,10000,9760,191.00833916664124,52.35373514910105
4,3,ceil,wrap,97.59,10000,9759,200.2061731815338,49.948509784124674
4,7,ceil,wrap,97.59,10000,9759,198.0458927154541,50.49334708681727
4,4,ceil,wrap,97.53,10000,9753,195.3362581729889,51.193772695000874
4,2,ceil,wrap,97.52,10000,9752,192.01559782028198,52.079102497493736
4,8,ceil,wrap,97.51,10000,9751,191.37900304794312,52.252336153589745
4,6,ceil,wrap,97.45,10000,9745,183.97672057151794,54.35470296967634
4,5,ceil,wrap,97.38,10000,9738,206.8123242855072,48.35301781239529
3,2,ceil,wrap,58.32,10000,5832,213.09588837623596,46.927231098632404
3,3,ceil,wrap,57.17,10000,5717,213.81631326675415,46.7691161970609
3,4,ceil,wrap,56.39,10000,5639,215.9931240081787,46.29777010689166
3,6,ceil,wrap,56.16,10000,5616,212.52579021453857,47.05311289469994
3,5,ceil,wrap,56.01,10000,5601,200.93927454948425,49.766279003547176
3,7,ceil,wrap,55.86,10000,5586,217.9658260345459,45.878751646210254
3,8,ceil,wrap,55.77,10000,5577,226.31757187843323,44.18569851647009
4,0,ceil,wrap,13.17,10000,1317,400.5682637691498,24.964533899677754
3,1,ceil,wrap,13.06,10000,1306,390.6755814552307,25.59668552293675
3,0,ceil,wrap,11.14,10000,1114,304.3233435153961,32.85978618821953
4,1,ceil,wrap,11.08,10000,1108,462.85924911499023,21.604839957547558
2,3,ceil,wrap,10.73,10000,1073,264.6346173286438,37.7879511794227
2,8,ceil,wrap,10.49,10000,1049,250.38694977760315,39.93818371477478
0,2,ceil,wrap,10.44,10000,1044,162.00877571105957,61.72505135051982
0,6,ceil,wrap,10.4,10000,1040,202.18453550338745,49.459766915914585
1,5,ceil,wrap,10.37,10000,1037,255.23736238479614,39.179216971079605
2,4,ceil,wrap,10.35,10000,1035,266.4718108177185,37.52742164101011
1,3,ceil,wrap,10.34,10000,1034,257.4715368747711,38.83924460692444
2,7,ceil,wrap,10.33,10000,1033,265.494916677475,37.66550457969057
2,1,ceil,wrap,10.32,10000,1032,291.5700328350067,34.297077456031936
2,2,ceil,wrap,10.3,10000,1030,266.10788226127625,37.57874406058204
2,5,ceil,wrap,10.28,10000,1028,260.7480676174164,38.351195049593
0,3,ceil,wrap,10.24,10000,1024,182.9131646156311,54.67075057726838
0,5,ceil,wrap,10.22,10000,1022,197.95716881752014,50.51597807613701
0,4,ceil,wrap,10.22,10000,1022,198.3221297264099,50.42301640162516
2,0,ceil,wrap,10.18,10000,1018,275.28833866119385,36.32554887225833
1,8,ceil,wrap,10.16,10000,1016,251.1648075580597,39.81449510074528
1,1,ceil,wrap,10.14,10000,1014,219.5026717185974,45.55753204143231
1,7,ceil,wrap,10.11,10000,1011,265.4907989501953,37.666088766699396
1,2,ceil,wrap,10.09,10000,1009,249.24390077590942,40.121342864838304
0,8,ceil,wrap,9.98,10000,998,204.41260933876038,48.92066116835101
1,6,ceil,wrap,9.96,10000,996,263.00648045539856,38.021876809593785
2,6,ceil,wrap,9.89,10000,989,269.9170172214508,37.04842363382964
0,1,ceil,wrap,9.8,10000,980,117.96749687194824,84.76911238402248
5,1,ceil,wrap,9.8,10000,980,472.6560215950012,21.15703501725103
0,0,ceil,wrap,9.8,10000,980,124.45461320877075,80.35057714755136
0,7,ceil,wrap,9.78,10000,978,201.18105745315552,49.7064690214608
1,0,ceil,wrap,9.73,10000,973,216.02177023887634,46.29163064880926
1,4,ceil,wrap,9.48,10000,948,260.27520871162415,38.42087016085981
5,0,ceil,wrap,9.26,10000,926,489.7418074607849,20.418922476412696
