m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,7,floor,saturate,97.85,10000,9785,175.84761810302734,56.8674179831148
3,3,floor,saturate,97.84,10000,9784,173.18350744247437,57.742218919556514
3,2,floor,saturate,97.81,10000,9781,175.05295372009277,57.125571362765236
4,2,floor,saturate,97.78,10000,9778,172.54350519180298,57.95639765683322
5,5,floor,saturate,97.78,10000,9778,177.30873894691467,56.39879940150016
5,6,floor,saturate,97.77,10000,9777,178.3719344139099,56.06263133747892
2,4,floor,saturate,97.77,10000,9777,179.2101731300354,55.80040365645968
3,5,floor,saturate,97.77,10000,9777,179.24718928337097,55.788880372294436
4,8,floor,saturate,97.76,10000,9776,176.85308361053467,56.54410879270824
4,3,floor,saturate,97.75,10000,9775,175.1613051891327,57.09023456523329
3,4,floor,saturate,97.74,10000,9774,176.38626670837402,56.69375618983632
5,3,floor,saturate,97.72,10000,9772,176.11778450012207,56.78018280994824
5,2,floor,saturate,97.7,10000,9770,174.56397414207458,57.28558855941933
4,6,floor,saturate,97.69,10000,9769,179.73667359352112,55.63694820910753
2,3,floor,saturate,97.69,10000,9769,174.85840797424316,57.189128711917654
5,8,floor,saturate,97.69,10000,9769,179.2055914402008,55.80183028684629
3,8,floor,saturate,97.67,10000,9767,177.38010120391846,56.376109451554946
5,4,floor,saturate,97.67,10000,9767,176.45170974731445,56.6727294074984
4,5,floor,saturate,97.67,10000,9767,176.1230502128601,56.77848520062607
4,4,floor,saturate,97.67,10000,9767,175.7891402244568,56.8863354541212
3,6,floor,saturate,97.63,10000,9763,175.07457637786865,57.118516045509104
3,7,floor,saturate,97.62,10000,9762,176.99239110946655,56.49960395085675
4,7,floor,saturate,97.59,10000,9759,176.83476305007935,56.54996691554372
2,2,floor,saturate,97.58,10000,9758,176.48612213134766,56.66167899908652
2,6,floor,saturate,97.58,10000,9758,178.6300675868988,55.98161684138234
2,8,floor,saturate,97.57,10000,9757,178.11715006828308,56.142825079821876
2,7,floor,saturate,97.53,10000,9753,178.74114346504211,55.94682794426557
2,5,floor,saturate,97.48,10000,9748,182.74583625793457,54.720808992253104
1,4,floor,saturate,92.3,10000,9230,176.0157265663147,56.8131052552992
1,7,floor,saturate,92.3,10000,9230,178.57129979133606,56.000040385466136
1,8,floor,saturate,92.18,10000,9218,176.64442920684814,56.61089933546753
1,3,floor,saturate,92.17,10000,9217,173.8809666633606,57.51060735336454
1,6,floor,saturate,92.16,10000,9216,174.5377643108368,57.294190970561864
1,5,floor,saturate,92.01,10000,9201,176.95440244674683,56.51173331508058
1,2,floor,saturate,90.75,10000,9075,169.2332944869995,59.0900273513744
0,4,floor,saturate,49.29,10000,4929,174.72115015983582,57.23405546982691
0,6,floor,saturate,49.27,10000,4927,169.833181142807,58.88130889800231
0,5,floor,saturate,49.11,10000,4911,168.81839728355408,59.23525019138526
0,3,floor,saturate,49.07,10000,4907,167.42146944999695,59.72949606075855
0,8,floor,saturate,48.99,10000,4899,168.33060717582703,59.40690268855658
0,7,floor,saturate,48.98,10000,4898,169.42201495170593,59.024206522691394
0,2,floor,saturate,39.34,10000,3934,154.60941624641418,64.67911361919994
0,1,floor,saturate,9.8,10000,980,110.05030727386475,90.86753365544529
0,0,floor,saturate,9.8,10000,980,108.38636589050293,92.26252691323258
1,0,floor,saturate,9.8,10000,980,110.40602540969849,90.57476675653938
1,1,floor,saturate,9.8,10000,980,109.28431749343872,91.50443750175212
2,0,floor,saturate,9.8,10000,980,107.614750623703,92.92406423880539
2,1,floor,saturate,9.8,10000,980,110.32587790489197,90.64056583914652
3,0,floor,saturate,9.8,10000,980,109.30115866661072,91.49033845562332
3,1,floor,saturate,9.8,10000,980,110.06373429298401,90.85644844086893
4,1,floor,saturate,9.8,10000,980,108.47696590423584,92.18546920668913
4,0,floor,saturate,9.8,10000,980,106.73543453216553,93.68959843402732
5,0,floor,saturate,9.8,10000,980,107.65253257751465,92.891451418475
5,1,floor,saturate,9.8,10000,980,108.21627736091614,92.40754019516517
