m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,3,nearest,wrap,97.83,10000,9783,186.7825062274933,53.53820441739023
5,8,nearest,wrap,97.82,10000,9782,187.62949204444885,53.29652546109878
5,6,nearest,wrap,97.74,10000,9774,196.54995727539062,50.87765033695109
5,2,nearest,wrap,97.73,10000,9773,185.62691593170166,53.87149783644164
5,7,nearest,wrap,97.69,10000,9769,192.87113285064697,51.84809075468888
5,4,nearest,wrap,97.65,10000,9765,190.63179993629456,52.45714515281189
5,5,nearest,wrap,97.64,10000,9764,190.4218351840973,52.51498595385416
4,2,nearest,wrap,97.6,10000,9760,182.15677452087402,54.89776609353644
4,3,nearest,wrap,97.55,10000,9755,192.6134934425354,51.917442653016494
4,8,nearest,wrap,97.55,10000,9755,196.1961486339569,50.96940011119686
4,5,nearest,wrap,97.54,10000,9754,199.68716430664062,50.07833144770361
4,6,nearest,wrap,97.51,10000,9751,189.21094393730164,52.8510655457312
4,7,nearest,wrap,97.5,10000,9750,186.85567355155945,53.517240391636705
4,4,nearest,wrap,97.49,10000,9749,202.27388501167297,49.43791928168539
3,2,nearest,wrap,57.7,10000,5770,213.5633885860443,46.824505202917855
3,3,nearest,wrap,56.5,10000,5650,212.77401185035706,46.9982208496071
3,4,nearest,wrap,56.09,10000,5609,206.12646222114563,48.51390691056135
3,5,nearest,wrap,55.72,10000,5572,212.1910376548767,47.12734388086996
3,7,nearest,wrap,55.72,10000,5572,215.3048152923584,46.44577960981126
3,8,nearest,wrap,55.63,10000,5563,215.98004937171936,46.30057280332028
3,6,nearest,wrap,55.46,10000,5546,217.33446192741394,46.01203100196706
3,1,nearest,wrap,22.07,10000,2207,152.3023145198822,65.65888398691771
5,1,nearest,wrap,19.23,10000,1923,140.5993196964264,71.12409947353514
4,1,nearest,wrap,19.18,10000,1918,151.35989928245544,66.06769723953647
1,0,nearest,wrap,17.92,10000,1792,137.0301444530487,72.97664349632461
2,0,nearest,wrap,12.79,10000,1279,130.95480632781982,76.36222205519475
3,0,nearest,wrap,11.79,10000,1179,128.09073042869568,78.06966176656088
0,7,nearest,wrap,10.57,10000,1057,205.1850869655609,48.736485423418905
0,8,nearest,wrap,10.54,10000,1054,204.61700129508972,48.87179431184428
2,4,nearest,wrap,10.44,10000,1044,274.2977340221405,36.45673572787455
2,7,nearest,wrap,10.32,10000,1032,267.256094455719,37.41729452555805
0,2,nearest,wrap,10.31,10000,1031,171.36433744430542,58.35519892375547
2,5,nearest,wrap,10.31,10000,1031,261.86768770217896,38.18722381423767
1,2,nearest,wrap,10.26,10000,1026,246.97075700759888,40.49062375304748
2,1,nearest,wrap,10.21,10000,1021,175.9409568309784,56.83724915516245
2,6,nearest,wrap,10.09,10000,1009,262.56688261032104,38.08553424782489
2,2,nearest,wrap,10.08,10000,1008,261.7998945713043,38.197112402871426
2,3,nearest,wrap,10.06,10000,1006,264.474289894104,37.81085868121252
0,4,nearest,wrap,10.04,10000,1004,195.0918595790863,51.25790497653338
1,4,nearest,wrap,9.99,10000,999,256.46896290779114,38.99107278565837
0,6,nearest,wrap,9.96,10000,996,200.95946526527405,49.761278906667194
1,3,nearest,wrap,9.96,10000,996,245.34633016586304,40.75871032283074
2,8,nearest,wrap,9.92,10000,992,268.1559588909149,37.29173142882859
1,7,nearest,wrap,9.86,10000,986,258.87808775901794,38.6282210540303
1,5,nearest,wrap,9.86,10000,986,249.31615710258484,40.10971497481149
1,8,nearest,wrap,9.85,10000,985,251.16219806671143,39.814908760051104
0,1,nearest,wrap,9.8,10000,980,119.95128130912781,83.36717949872404
0,0,nearest,wrap,9.8,10000,980,130.14098238945007,76.83974576182894
4,0,nearest,wrap,9.8,10000,980,119.17758655548096,83.90839493418238
5,0,nearest,wrap,9.8,10000,980,120.3866183757782,83.06571058243132
1,6,nearest,wrap,9.74,10000,974,259.7367479801178,38.50052053768485
0,3,nearest,wrap,9.73,10000,973,192.39642333984375,51.97601819414426
1,1,nearest,wrap,9.61,10000,961,169.87958359718323,58.865225521813734
0,5,nearest,wrap,9.61,10000,961,198.8830680847168,50.280801157695194
