m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,3,stochastic,saturate,97.78,10000,9778,245.24991822242737,40.774733269964166
5,6,stochastic,saturate,97.77,10000,9777,247.71358394622803,40.369203176886465
5,4,stochastic,saturate,97.76,10000,9776,248.00834465026855,40.32122392535461
3,2,stochastic,saturate,97.72,10000,9772,241.18318343162537,41.4622605843287
4,6,stochastic,saturate,97.72,10000,9772,246.8556432723999,40.50950534262332
2,4,stochastic,saturate,97.71,10000,9771,246.39947867393494,40.58450145194174
5,7,stochastic,saturate,97.71,10000,9771,245.70939826965332,40.698483942504794
3,6,stochastic,saturate,97.71,10000,9771,246.27034187316895,40.60578275052736
5,5,stochastic,saturate,97.7,10000,9770,253.91043639183044,39.38396602402023
4,4,stochastic,saturate,97.69,10000,9769,246.44294142723083,40.5773439567259
3,4,stochastic,saturate,97.69,10000,9769,245.97885847091675,40.65390034803478
4,5,stochastic,saturate,97.68,10000,9768,245.53126764297485,40.7280103100389
3,8,stochastic,saturate,97.68,10000,9768,247.71672558784485,40.368691198664415
2,7,stochastic,saturate,97.68,10000,9768,247.69601249694824,40.37206695090905
2,5,stochastic,saturate,97.67,10000,9767,252.77631759643555,39.56066808428343
3,3,stochastic,saturate,97.67,10000,9767,241.94779133796692,41.33123077793015
3,5,stochastic,saturate,97.66,10000,9766,246.5897514820099,40.553185766641874
4,8,stochastic,saturate,97.65,10000,9765,247.60527443885803,40.38686180115817
4,2,stochastic,saturate,97.63,10000,9763,242.8800184726715,41.17259238896667
5,8,stochastic,saturate,97.62,10000,9762,247.41940712928772,40.41720136680528
3,7,stochastic,saturate,97.61,10000,9761,244.98748302459717,40.81841193084947
2,3,stochastic,saturate,97.6,10000,9760,248.5963864326477,40.22584617379104
5,2,stochastic,saturate,97.6,10000,9760,243.96013069152832,40.99030432412888
2,8,stochastic,saturate,97.6,10000,9760,246.45892190933228,40.57471290764965
4,7,stochastic,saturate,97.6,10000,9760,245.8678059577942,40.67226272689238
4,3,stochastic,saturate,97.58,10000,9758,244.8046679496765,40.84889427866489
2,2,stochastic,saturate,97.52,10000,9752,245.35102367401123,40.757930618160486
2,6,stochastic,saturate,97.51,10000,9751,248.18962740898132,40.29177248218121
1,4,stochastic,saturate,92.33,10000,9233,251.5588047504425,39.752136721751576
1,6,stochastic,saturate,92.26,10000,9226,244.1222221851349,40.96308771274539
1,5,stochastic,saturate,92.23,10000,9223,245.19673943519592,40.78357658031967
1,3,stochastic,saturate,92.15,10000,9215,243.33835673332214,41.095042040409346
1,7,stochastic,saturate,92.12,10000,9212,244.2773883342743,40.93706776623873
1,8,stochastic,saturate,92.09,10000,9209,242.7763659954071,41.19017087597885
1,2,stochastic,saturate,91.02,10000,9102,236.70932793617249,42.24590592685241
4,1,stochastic,saturate,54.41,10000,5441,168.16396403312683,59.465772334137455
3,1,stochastic,saturate,54.38,10000,5438,167.2512047290802,59.7903017571585
2,1,stochastic,saturate,54.3,10000,5430,168.3734781742096,59.39177659354036
5,1,stochastic,saturate,53.86,10000,5386,168.53837370872498,59.33366852870205
0,7,stochastic,saturate,49.35,10000,4935,234.81992864608765,42.58582334837368
0,8,stochastic,saturate,49.35,10000,4935,234.1058065891266,42.715728181619845
0,5,stochastic,saturate,49.28,10000,4928,238.07921147346497,42.00282728639055
0,6,stochastic,saturate,49.2,10000,4920,236.3846514225006,42.30393107091612
0,3,stochastic,saturate,49.16,10000,4916,241.84735298156738,41.34839549292962
1,1,stochastic,saturate,49.09,10000,4909,167.41459727287292,59.73194788803732
0,4,stochastic,saturate,48.77,10000,4877,236.86898159980774,42.217431478196204
0,2,stochastic,saturate,39.19,10000,3919,214.5620255470276,46.606569706381734
2,0,stochastic,saturate,32.77,10000,3277,162.82323241233826,61.41629699793523
4,0,stochastic,saturate,32.09,10000,3209,160.0447154045105,62.48253792526143
3,0,stochastic,saturate,31.93,10000,3193,166.4330494403839,60.08422025327359
5,0,stochastic,saturate,31.67,10000,3167,162.42526268959045,61.56677744835122
1,0,stochastic,saturate,30.38,10000,3038,158.30171632766724,63.17050902531653
0,1,stochastic,saturate,9.8,10000,980,153.6205232143402,65.09546895662778
0,0,stochastic,saturate,9.8,10000,980,157.43865966796875,63.516800899407826
