m,n,rnd,ovf,accuracy,total_samples,correct,elapsed_time,throughput
5,4,trunc,saturate,97.83,10000,9783,232.5351791381836,43.0042457965361
4,6,trunc,saturate,97.78,10000,9778,234.3466100692749,42.67183552193869
5,5,trunc,saturate,97.78,10000,9778,231.7632040977478,43.14748770811102
4,5,trunc,saturate,97.77,10000,9777,232.36519575119019,43.035704928494134
3,5,trunc,saturate,97.76,10000,9776,233.0281937122345,42.91326229970677
3,7,trunc,saturate,97.74,10000,9774,234.32942128181458,42.67496563299054
4,2,trunc,saturate,97.73,10000,9773,229.828355550766,43.510732068006874
3,4,trunc,saturate,97.73,10000,9773,233.52830600738525,42.821361448507886
5,3,trunc,saturate,97.73,10000,9773,228.97217202186584,43.67342944646148
5,6,trunc,saturate,97.71,10000,9771,233.62502670288086,42.80363341688465
4,3,trunc,saturate,97.71,10000,9771,232.09702730178833,43.08542903911182
2,6,trunc,saturate,97.7,10000,9770,231.89764094352722,43.12247403342601
5,2,trunc,saturate,97.69,10000,9769,229.65033435821533,43.54446087764761
3,8,trunc,saturate,97.69,10000,9769,239.60192823410034,41.73589116624142
4,4,trunc,saturate,97.69,10000,9769,234.88205099105835,42.57456011562453
3,3,trunc,saturate,97.68,10000,9768,231.7222707271576,43.155109643192404
5,7,trunc,saturate,97.68,10000,9768,232.85483956336975,42.94521006628498
4,8,trunc,saturate,97.68,10000,9768,235.72819709777832,42.42173877846304
3,2,trunc,saturate,97.67,10000,9767,229.06841588020325,43.65507990953121
2,2,trunc,saturate,97.66,10000,9766,230.86004447937012,43.31628724473199
2,3,trunc,saturate,97.66,10000,9766,232.33259463310242,43.041743737213935
4,7,trunc,saturate,97.65,10000,9765,237.91710662841797,42.031445917077875
2,5,trunc,saturate,97.64,10000,9764,232.692214012146,42.97522391307009
5,8,trunc,saturate,97.62,10000,9762,236.51426553726196,42.28074774806569
3,6,trunc,saturate,97.61,10000,9761,235.67291116714478,42.43169039019408
2,8,trunc,saturate,97.6,10000,9760,234.84086298942566,42.582027134052375
2,4,trunc,saturate,97.53,10000,9753,232.0069613456726,43.10215496120725
2,7,trunc,saturate,97.46,10000,9746,233.989812374115,42.7369033657392
1,8,trunc,saturate,92.36,10000,9236,233.86492800712585,42.7597249626729
1,6,trunc,saturate,92.34,10000,9234,232.63426852226257,42.98592835665147
1,5,trunc,saturate,92.27,10000,9227,232.2250804901123,43.06167093965452
1,3,trunc,saturate,92.22,10000,9222,228.9301953315735,43.68143741596164
1,4,trunc,saturate,92.22,10000,9222,232.1153438091278,43.08202911490057
1,7,trunc,saturate,92.17,10000,9217,230.03397369384766,43.47183956970202
1,2,trunc,saturate,90.89,10000,9089,225.83809089660645,44.279509981237915
0,7,trunc,saturate,49.47,10000,4947,226.1455409526825,44.219310970594584
0,3,trunc,saturate,49.31,10000,4931,222.5595326423645,44.93179816327709
0,8,trunc,saturate,49.27,10000,4927,222.15063381195068,45.01450132465049
0,4,trunc,saturate,49.21,10000,4921,228.86754965782166,43.69339390818372
0,5,trunc,saturate,49.13,10000,4913,221.3199439048767,45.183456237897836
0,6,trunc,saturate,48.97,10000,4897,221.18482065200806,45.21105910668745
0,2,trunc,saturate,39.15,10000,3915,212.16868591308594,47.132308695621845
5,1,trunc,saturate,9.87,10000,987,150.16720962524414,66.59243402708158
1,1,trunc,saturate,9.86,10000,986,152.2992980480194,65.66018444055491
4,1,trunc,saturate,9.86,10000,986,152.98077940940857,65.36768892540356
2,1,trunc,saturate,9.85,10000,985,155.19579410552979,64.43473586146423
3,1,trunc,saturate,9.85,10000,985,155.32391905784607,64.3815843732077
1,0,trunc,saturate,9.8,10000,980,147.17219281196594,67.94761842528546
0,1,trunc,saturate,9.8,10000,980,149.41623306274414,66.92713231366712
0,0,trunc,saturate,9.8,10000,980,147.97175693511963,67.5804640502082
2,0,trunc,saturate,9.8,10000,980,153.84742045402527,64.99946486258008
3,0,trunc,saturate,9.8,10000,980,149.9120991230011,66.70575663005772
4,0,trunc,saturate,9.8,10000,980,147.90878772735596,67.60923508096933
5,0,trunc,saturate,9.8,10000,980,148.7554473876953,67.2244289241886
