m,n,rounding,overflow,acc
3,7,nearest,saturate,98.11
3,6,nearest,saturate,98.1
5,6,nearest,saturate,98.1
3,5,nearest,saturate,98.06
3,8,nearest,saturate,98.06
5,5,nearest,saturate,98.06
4,7,nearest,saturate,98.05
5,8,nearest,saturate,97.99
5,7,nearest,saturate,97.99
4,6,nearest,saturate,97.96
4,8,nearest,saturate,97.92
5,4,nearest,saturate,97.91
2,7,nearest,saturate,97.9
4,4,nearest,saturate,97.88
3,4,nearest,saturate,97.85
5,3,nearest,saturate,97.85
2,6,nearest,saturate,97.84
4,3,nearest,saturate,97.8
4,5,nearest,saturate,97.77
2,8,nearest,saturate,97.77
3,3,nearest,saturate,97.75
2,3,nearest,saturate,97.69
2,5,nearest,saturate,97.68
2,4,nearest,saturate,97.67
5,2,nearest,saturate,96.36
4,2,nearest,saturate,96.2
3,2,nearest,saturate,96.19
2,2,nearest,saturate,95.77
1,7,nearest,saturate,91.7
1,5,nearest,saturate,91.54
1,6,nearest,saturate,91.46
1,8,nearest,saturate,91.44
1,4,nearest,saturate,90.54
1,3,nearest,saturate,89.26
1,2,nearest,saturate,84.84
0,8,nearest,saturate,53.17
0,7,nearest,saturate,52.92
0,6,nearest,saturate,52.56
0,5,nearest,saturate,51.29
0,4,nearest,saturate,48.57
0,3,nearest,saturate,42.12
0,2,nearest,saturate,39.29
1,1,nearest,saturate,33.76
3,1,nearest,saturate,30.61
4,1,nearest,saturate,30.52
5,1,nearest,saturate,30.51
2,1,nearest,saturate,30.18
1,0,nearest,saturate,9.8
0,1,nearest,saturate,9.8
0,0,nearest,saturate,9.8
2,0,nearest,saturate,9.8
3,0,nearest,saturate,9.8
4,0,nearest,saturate,9.8
5,0,nearest,saturate,9.8
