m,n,rounding,overflow,acc
5,8,ceil,wrap,98.01
4,8,ceil,wrap,97.99
4,7,ceil,wrap,97.74
5,7,ceil,wrap,97.71
5,6,ceil,wrap,95.68
4,6,ceil,wrap,95.66
3,7,ceil,wrap,90.0
3,8,ceil,wrap,89.36
3,6,ceil,wrap,87.6
4,5,ceil,wrap,79.2
5,5,ceil,wrap,78.79
3,5,ceil,wrap,69.63
4,4,ceil,wrap,29.72
5,4,ceil,wrap,29.64
3,4,ceil,wrap,26.75
4,0,ceil,wrap,18.53
3,1,ceil,wrap,15.37
5,1,ceil,wrap,13.63
3,3,ceil,wrap,11.49
5,3,ceil,wrap,11.37
4,3,ceil,wrap,11.36
5,0,ceil,wrap,11.24
1,5,ceil,wrap,10.65
3,0,ceil,wrap,10.43
1,6,ceil,wrap,10.42
1,4,ceil,wrap,10.35
1,0,ceil,wrap,10.3
1,7,ceil,wrap,10.3
2,4,ceil,wrap,10.25
0,8,ceil,wrap,10.24
0,5,ceil,wrap,10.23
1,3,ceil,wrap,10.21
1,8,ceil,wrap,10.2
0,7,ceil,wrap,10.12
0,6,ceil,wrap,10.1
0,2,ceil,wrap,10.09
2,0,ceil,wrap,9.97
0,1,ceil,wrap,9.8
0,0,ceil,wrap,9.8
5,2,ceil,wrap,9.78
0,3,ceil,wrap,9.77
0,4,ceil,wrap,9.75
1,1,ceil,wrap,9.68
1,2,ceil,wrap,9.66
4,1,ceil,wrap,9.42
2,6,ceil,wrap,9.16
2,7,ceil,wrap,9.02
2,5,ceil,wrap,9.0
2,1,ceil,wrap,8.66
2,8,ceil,wrap,8.65
2,2,ceil,wrap,7.7
3,2,ceil,wrap,7.44
2,3,ceil,wrap,6.63
4,2,ceil,wrap,4.51
