m,n,rounding,overflow,acc
5,8,floor,wrap,98.23
4,8,floor,wrap,98.19
5,7,floor,wrap,98.05
4,7,floor,wrap,98.02
5,6,floor,wrap,97.53
4,6,floor,wrap,97.33
5,5,floor,wrap,90.09
4,5,floor,wrap,89.23
3,8,floor,wrap,85.53
3,7,floor,wrap,82.42
3,6,floor,wrap,72.72
3,5,floor,wrap,48.91
5,4,floor,wrap,33.81
4,4,floor,wrap,30.09
3,4,floor,wrap,18.29
5,1,floor,wrap,16.8
3,1,floor,wrap,12.4
4,0,floor,wrap,12.02
2,3,floor,wrap,11.07
1,2,floor,wrap,10.68
0,6,floor,wrap,10.58
1,8,floor,wrap,10.56
5,0,floor,wrap,10.53
2,6,floor,wrap,10.48
1,0,floor,wrap,10.41
0,5,floor,wrap,10.17
0,4,floor,wrap,10.14
2,1,floor,wrap,10.03
1,6,floor,wrap,10.03
0,2,floor,wrap,10.01
2,0,floor,wrap,9.97
0,8,floor,wrap,9.95
0,7,floor,wrap,9.94
2,7,floor,wrap,9.92
0,3,floor,wrap,9.82
1,4,floor,wrap,9.81
1,7,floor,wrap,9.81
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
1,1,floor,wrap,9.78
1,5,floor,wrap,9.61
4,1,floor,wrap,9.4
3,0,floor,wrap,9.36
2,8,floor,wrap,9.28
5,3,floor,wrap,9.23
3,2,floor,wrap,9.23
1,3,floor,wrap,9.21
4,3,floor,wrap,9.18
4,2,floor,wrap,7.62
5,2,floor,wrap,6.9
2,5,floor,wrap,6.84
2,2,floor,wrap,6.41
3,3,floor,wrap,4.6
2,4,floor,wrap,4.38
