m,n,rounding,overflow,acc
3,7,stochastic,saturate,98.18
3,8,stochastic,saturate,98.17
4,8,stochastic,saturate,98.17
4,6,stochastic,saturate,98.17
2,7,stochastic,saturate,98.16
2,8,stochastic,saturate,98.14
5,7,stochastic,saturate,98.13
2,6,stochastic,saturate,98.13
5,8,stochastic,saturate,98.12
5,6,stochastic,saturate,98.1
4,7,stochastic,saturate,98.07
3,6,stochastic,saturate,98.06
3,5,stochastic,saturate,97.4
2,5,stochastic,saturate,97.39
5,5,stochastic,saturate,97.34
4,5,stochastic,saturate,97.27
1,5,stochastic,saturate,93.57
1,6,stochastic,saturate,92.69
1,7,stochastic,saturate,91.55
1,8,stochastic,saturate,91.25
5,4,stochastic,saturate,90.38
3,4,stochastic,saturate,90.27
2,4,stochastic,saturate,90.27
4,4,stochastic,saturate,90.21
1,4,stochastic,saturate,87.63
2,3,stochastic,saturate,57.42
1,3,stochastic,saturate,56.84
4,3,stochastic,saturate,56.77
5,3,stochastic,saturate,56.29
3,3,stochastic,saturate,56.28
0,4,stochastic,saturate,50.62
0,5,stochastic,saturate,45.46
0,6,stochastic,saturate,39.65
0,3,stochastic,saturate,37.1
0,7,stochastic,saturate,36.87
2,2,stochastic,saturate,36.55
4,2,stochastic,saturate,36.45
3,2,stochastic,saturate,36.25
5,2,stochastic,saturate,35.78
0,8,stochastic,saturate,35.47
1,2,stochastic,saturate,30.93
4,1,stochastic,saturate,23.29
2,1,stochastic,saturate,22.8
3,1,stochastic,saturate,22.69
5,1,stochastic,saturate,22.5
0,2,stochastic,saturate,18.16
1,1,stochastic,saturate,17.38
2,0,stochastic,saturate,16.33
3,0,stochastic,saturate,16.08
5,0,stochastic,saturate,16.07
4,0,stochastic,saturate,16.05
1,0,stochastic,saturate,13.9
0,1,stochastic,saturate,9.8
0,0,stochastic,saturate,9.8
