m,n,rounding,overflow,acc
5,7,stochastic,wrap,98.29
5,8,stochastic,wrap,98.21
4,7,stochastic,wrap,98.13
4,6,stochastic,wrap,98.12
4,8,stochastic,wrap,98.12
5,6,stochastic,wrap,98.1
5,5,stochastic,wrap,97.35
4,5,stochastic,wrap,97.08
5,4,stochastic,wrap,90.38
4,4,stochastic,wrap,88.64
3,8,stochastic,wrap,85.94
3,7,stochastic,wrap,83.23
3,6,stochastic,wrap,76.53
3,5,stochastic,wrap,60.35
5,3,stochastic,wrap,56.27
4,3,stochastic,wrap,47.36
3,4,stochastic,wrap,31.43
5,2,stochastic,wrap,31.14
5,1,stochastic,wrap,21.91
4,2,stochastic,wrap,19.59
2,2,stochastic,wrap,11.36
3,1,stochastic,wrap,11.14
4,0,stochastic,wrap,10.99
2,0,stochastic,wrap,10.97
5,0,stochastic,wrap,10.95
1,1,stochastic,wrap,10.42
3,0,stochastic,wrap,10.33
0,8,stochastic,wrap,10.24
0,4,stochastic,wrap,10.21
2,1,stochastic,wrap,10.19
0,7,stochastic,wrap,10.14
0,2,stochastic,wrap,10.07
0,5,stochastic,wrap,10.07
1,2,stochastic,wrap,10.01
0,3,stochastic,wrap,9.95
0,6,stochastic,wrap,9.86
0,1,stochastic,wrap,9.8
0,0,stochastic,wrap,9.8
1,0,stochastic,wrap,9.53
1,8,stochastic,wrap,9.45
1,4,stochastic,wrap,9.36
1,5,stochastic,wrap,9.21
1,3,stochastic,wrap,9.17
1,6,stochastic,wrap,9.09
1,7,stochastic,wrap,9.03
2,8,stochastic,wrap,8.69
2,3,stochastic,wrap,8.64
2,7,stochastic,wrap,7.81
2,6,stochastic,wrap,7.47
3,3,stochastic,wrap,6.75
2,5,stochastic,wrap,6.61
4,1,stochastic,wrap,5.77
3,2,stochastic,wrap,5.61
2,4,stochastic,wrap,5.07
