m,n,rounding,overflow,acc
3,8,trunc,saturate,98.21
3,7,trunc,saturate,98.17
4,8,trunc,saturate,98.16
5,8,trunc,saturate,98.16
2,8,trunc,saturate,98.13
4,7,trunc,saturate,98.12
5,7,trunc,saturate,98.1
2,7,trunc,saturate,97.92
5,6,trunc,saturate,97.79
4,6,trunc,saturate,97.76
3,6,trunc,saturate,97.74
2,6,trunc,saturate,97.41
5,5,trunc,saturate,94.84
4,5,trunc,saturate,94.7
3,5,trunc,saturate,94.7
2,5,trunc,saturate,93.54
1,8,trunc,saturate,89.18
1,7,trunc,saturate,88.09
1,6,trunc,saturate,85.37
1,5,trunc,saturate,76.8
3,4,trunc,saturate,62.92
5,4,trunc,saturate,62.74
4,4,trunc,saturate,62.41
2,4,trunc,saturate,61.69
1,4,trunc,saturate,45.39
0,8,trunc,saturate,32.65
0,7,trunc,saturate,31.55
0,6,trunc,saturate,28.91
0,5,trunc,saturate,24.48
0,4,trunc,saturate,20.42
5,3,trunc,saturate,16.64
4,3,trunc,saturate,16.22
3,3,trunc,saturate,16.15
2,3,trunc,saturate,16.15
1,3,trunc,saturate,15.06
0,3,trunc,saturate,13.94
4,2,trunc,saturate,11.8
5,2,trunc,saturate,11.78
2,2,trunc,saturate,11.64
3,2,trunc,saturate,11.63
1,2,trunc,saturate,11.61
0,2,trunc,saturate,11.14
0,1,trunc,saturate,9.8
0,0,trunc,saturate,9.8
1,0,trunc,saturate,9.8
1,1,trunc,saturate,9.8
2,0,trunc,saturate,9.8
2,1,trunc,saturate,9.8
3,0,trunc,saturate,9.8
3,1,trunc,saturate,9.8
4,1,trunc,saturate,9.8
4,0,trunc,saturate,9.8
5,0,trunc,saturate,9.8
5,1,trunc,saturate,9.8
