m,n,rounding,overflow,acc
4,8,ceil,wrap,98.47
5,8,ceil,wrap,98.39
5,7,ceil,wrap,98.19
4,7,ceil,wrap,98.07
4,6,ceil,wrap,96.71
5,6,ceil,wrap,96.66
3,8,ceil,wrap,92.89
3,7,ceil,wrap,92.33
3,6,ceil,wrap,87.79
4,5,ceil,wrap,81.64
5,5,ceil,wrap,81.51
3,5,ceil,wrap,41.71
4,2,ceil,wrap,14.98
4,4,ceil,wrap,12.73
4,1,ceil,wrap,12.56
5,0,ceil,wrap,11.87
5,4,ceil,wrap,11.25
3,1,ceil,wrap,11.21
4,3,ceil,wrap,10.74
1,6,ceil,wrap,10.54
0,8,ceil,wrap,10.41
2,3,ceil,wrap,10.35
0,4,ceil,wrap,10.32
4,0,ceil,wrap,10.32
1,1,ceil,wrap,10.27
1,2,ceil,wrap,10.15
1,4,ceil,wrap,10.13
1,0,ceil,wrap,10.09
1,8,ceil,wrap,10.07
0,6,ceil,wrap,9.98
0,7,ceil,wrap,9.95
0,3,ceil,wrap,9.91
2,1,ceil,wrap,9.9
1,7,ceil,wrap,9.89
1,5,ceil,wrap,9.87
2,0,ceil,wrap,9.84
0,1,ceil,wrap,9.8
0,0,ceil,wrap,9.8
5,3,ceil,wrap,9.8
5,2,ceil,wrap,9.8
0,5,ceil,wrap,9.72
1,3,ceil,wrap,9.71
3,0,ceil,wrap,9.7
3,2,ceil,wrap,9.7
2,4,ceil,wrap,9.54
0,2,ceil,wrap,9.54
5,1,ceil,wrap,9.05
2,2,ceil,wrap,8.26
3,3,ceil,wrap,8.09
2,5,ceil,wrap,6.26
3,4,ceil,wrap,4.49
2,8,ceil,wrap,2.98
2,6,ceil,wrap,2.49
2,7,ceil,wrap,2.48
