m,n,rounding,overflow,acc
5,8,floor,saturate,98.54
3,7,floor,saturate,98.53
3,8,floor,saturate,98.53
2,8,floor,saturate,98.52
4,8,floor,saturate,98.5
5,7,floor,saturate,98.49
2,7,floor,saturate,98.48
4,7,floor,saturate,98.4
4,6,floor,saturate,97.91
5,6,floor,saturate,97.9
3,6,floor,saturate,97.8
2,6,floor,saturate,97.76
1,8,floor,saturate,92.68
1,7,floor,saturate,92.41
5,5,floor,saturate,91.18
4,5,floor,saturate,91.17
3,5,floor,saturate,91.16
1,6,floor,saturate,91.1
2,5,floor,saturate,90.96
1,5,floor,saturate,82.1
0,6,floor,saturate,46.83
0,7,floor,saturate,46.59
0,8,floor,saturate,46.07
0,5,floor,saturate,42.63
2,4,floor,saturate,31.11
5,4,floor,saturate,30.2
4,4,floor,saturate,30.07
3,4,floor,saturate,29.93
1,4,floor,saturate,29.29
0,4,floor,saturate,22.15
0,3,floor,saturate,10.09
1,3,floor,saturate,9.99
4,3,floor,saturate,9.92
2,3,floor,saturate,9.9
3,3,floor,saturate,9.9
5,3,floor,saturate,9.89
0,0,floor,saturate,9.8
0,2,floor,saturate,9.8
2,2,floor,saturate,9.8
2,1,floor,saturate,9.8
2,0,floor,saturate,9.8
1,1,floor,saturate,9.8
1,2,floor,saturate,9.8
1,0,floor,saturate,9.8
0,1,floor,saturate,9.8
3,0,floor,saturate,9.8
4,1,floor,saturate,9.8
4,0,floor,saturate,9.8
3,1,floor,saturate,9.8
3,2,floor,saturate,9.8
5,0,floor,saturate,9.8
4,2,floor,saturate,9.8
5,1,floor,saturate,9.8
5,2,floor,saturate,9.8
