m,n,rounding,overflow,acc
5,8,stochastic,saturate,98.53
5,7,stochastic,saturate,98.53
3,7,stochastic,saturate,98.52
4,8,stochastic,saturate,98.47
3,6,stochastic,saturate,98.45
4,7,stochastic,saturate,98.44
3,8,stochastic,saturate,98.43
2,7,stochastic,saturate,98.43
2,6,stochastic,saturate,98.41
2,8,stochastic,saturate,98.41
4,6,stochastic,saturate,98.36
5,6,stochastic,saturate,98.36
5,5,stochastic,saturate,97.89
4,5,stochastic,saturate,97.89
2,5,stochastic,saturate,97.87
3,5,stochastic,saturate,97.78
1,5,stochastic,saturate,94.24
2,4,stochastic,saturate,93.86
1,6,stochastic,saturate,93.85
4,4,stochastic,saturate,93.41
5,4,stochastic,saturate,93.39
3,4,stochastic,saturate,93.23
1,7,stochastic,saturate,93.19
1,8,stochastic,saturate,93.0
1,4,stochastic,saturate,91.4
2,3,stochastic,saturate,67.23
1,3,stochastic,saturate,66.62
3,3,stochastic,saturate,66.3
5,3,stochastic,saturate,65.91
4,3,stochastic,saturate,65.78
0,4,stochastic,saturate,57.97
0,5,stochastic,saturate,54.85
0,6,stochastic,saturate,50.31
0,7,stochastic,saturate,47.8
0,8,stochastic,saturate,46.68
0,3,stochastic,saturate,43.82
2,2,stochastic,saturate,37.84
5,2,stochastic,saturate,37.45
3,2,stochastic,saturate,37.2
4,2,stochastic,saturate,37.12
1,2,stochastic,saturate,31.95
2,1,stochastic,saturate,17.28
3,1,stochastic,saturate,17.16
5,1,stochastic,saturate,17.12
4,1,stochastic,saturate,16.87
0,2,stochastic,saturate,15.79
1,1,stochastic,saturate,13.51
4,0,stochastic,saturate,12.91
5,0,stochastic,saturate,12.64
3,0,stochastic,saturate,12.38
2,0,stochastic,saturate,11.82
1,0,stochastic,saturate,11.01
0,1,stochastic,saturate,9.8
0,0,stochastic,saturate,9.8
