m,n,rounding,overflow,acc
5,8,trunc,saturate,98.51
3,8,trunc,saturate,98.51
4,8,trunc,saturate,98.5
3,7,trunc,saturate,98.45
5,7,trunc,saturate,98.45
2,8,trunc,saturate,98.44
4,7,trunc,saturate,98.33
2,7,trunc,saturate,98.31
3,6,trunc,saturate,97.93
4,6,trunc,saturate,97.92
5,6,trunc,saturate,97.88
2,6,trunc,saturate,97.63
3,5,trunc,saturate,93.65
4,5,trunc,saturate,93.62
5,5,trunc,saturate,93.51
2,5,trunc,saturate,92.81
1,8,trunc,saturate,91.57
1,7,trunc,saturate,90.65
1,6,trunc,saturate,87.74
1,5,trunc,saturate,77.16
4,4,trunc,saturate,60.72
3,4,trunc,saturate,60.32
5,4,trunc,saturate,60.3
2,4,trunc,saturate,59.29
1,4,trunc,saturate,46.27
0,8,trunc,saturate,43.72
0,7,trunc,saturate,42.08
0,6,trunc,saturate,38.69
0,5,trunc,saturate,32.49
0,4,trunc,saturate,23.44
3,3,trunc,saturate,11.97
2,3,trunc,saturate,11.93
1,3,trunc,saturate,11.93
5,3,trunc,saturate,11.9
4,3,trunc,saturate,11.83
0,3,trunc,saturate,10.92
0,0,trunc,saturate,9.8
0,2,trunc,saturate,9.8
2,2,trunc,saturate,9.8
2,1,trunc,saturate,9.8
2,0,trunc,saturate,9.8
1,1,trunc,saturate,9.8
1,2,trunc,saturate,9.8
1,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
3,0,trunc,saturate,9.8
4,1,trunc,saturate,9.8
4,0,trunc,saturate,9.8
3,1,trunc,saturate,9.8
3,2,trunc,saturate,9.8
5,0,trunc,saturate,9.8
4,2,trunc,saturate,9.8
5,1,trunc,saturate,9.8
5,2,trunc,saturate,9.8
