m,n,rounding,overflow,acc
4,8,trunc,wrap,98.61
5,8,trunc,wrap,98.51
5,7,trunc,wrap,98.49
4,7,trunc,wrap,98.44
4,6,trunc,wrap,98.03
5,6,trunc,wrap,97.91
3,6,trunc,wrap,96.49
3,7,trunc,wrap,95.66
3,8,trunc,wrap,94.71
5,5,trunc,wrap,93.5
3,5,trunc,wrap,93.47
4,5,trunc,wrap,93.47
3,4,trunc,wrap,62.66
4,4,trunc,wrap,60.66
5,4,trunc,wrap,60.28
2,4,trunc,wrap,49.44
2,5,trunc,wrap,34.49
2,3,trunc,wrap,15.01
3,3,trunc,wrap,12.42
5,3,trunc,wrap,11.87
4,3,trunc,wrap,11.86
1,3,trunc,wrap,11.73
0,8,trunc,wrap,10.31
0,5,trunc,wrap,10.16
1,7,trunc,wrap,10.09
0,4,trunc,wrap,9.95
0,6,trunc,wrap,9.9
1,6,trunc,wrap,9.87
3,2,trunc,wrap,9.8
1,1,trunc,wrap,9.8
0,7,trunc,wrap,9.8
1,0,trunc,wrap,9.8
1,2,trunc,wrap,9.8
2,1,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,0,trunc,wrap,9.8
2,0,trunc,wrap,9.8
2,2,trunc,wrap,9.8
5,0,trunc,wrap,9.8
4,2,trunc,wrap,9.8
5,1,trunc,wrap,9.8
4,1,trunc,wrap,9.8
5,2,trunc,wrap,9.8
4,0,trunc,wrap,9.8
3,1,trunc,wrap,9.8
3,0,trunc,wrap,9.8
0,2,trunc,wrap,9.78
1,8,trunc,wrap,9.66
0,3,trunc,wrap,9.3
1,5,trunc,wrap,9.13
1,4,trunc,wrap,8.26
2,6,trunc,wrap,6.42
2,8,trunc,wrap,3.15
2,7,trunc,wrap,2.86
