m,n,rounding,overflow,acc
4,8,ceil,saturate,98.66
3,8,ceil,saturate,98.64
5,8,ceil,saturate,98.6
2,8,ceil,saturate,98.59
5,7,ceil,saturate,98.51
3,7,ceil,saturate,98.5
4,7,ceil,saturate,98.48
2,7,ceil,saturate,98.39
5,6,ceil,saturate,97.78
3,6,ceil,saturate,97.77
4,6,ceil,saturate,97.72
2,6,ceil,saturate,97.63
1,8,ceil,saturate,90.31
1,7,ceil,saturate,89.43
5,5,ceil,saturate,88.77
3,5,ceil,saturate,88.63
4,5,ceil,saturate,88.56
2,5,ceil,saturate,87.69
1,6,ceil,saturate,86.38
1,5,ceil,saturate,71.96
0,8,ceil,saturate,46.37
0,7,ceil,saturate,44.85
0,6,ceil,saturate,42.64
0,5,ceil,saturate,34.86
1,4,ceil,saturate,19.94
0,4,ceil,saturate,12.94
1,2,ceil,saturate,11.35
5,4,ceil,saturate,10.45
2,4,ceil,saturate,10.45
4,4,ceil,saturate,10.42
3,4,ceil,saturate,10.36
0,2,ceil,saturate,9.86
0,1,ceil,saturate,9.8
0,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
1,0,ceil,saturate,9.8
2,0,ceil,saturate,9.8
2,2,ceil,saturate,9.8
5,0,ceil,saturate,9.8
4,1,ceil,saturate,9.8
2,1,ceil,saturate,9.8
2,3,ceil,saturate,9.8
3,1,ceil,saturate,9.8
3,0,ceil,saturate,9.8
4,0,ceil,saturate,9.8
3,2,ceil,saturate,9.8
5,1,ceil,saturate,9.8
5,3,ceil,saturate,9.8
4,3,ceil,saturate,9.8
4,2,ceil,saturate,9.8
5,2,ceil,saturate,9.8
3,3,ceil,saturate,9.79
1,3,ceil,saturate,9.58
0,3,ceil,saturate,9.57
