m,n,rounding,overflow,acc
5,8,floor,wrap,98.7
4,7,floor,wrap,98.67
4,8,floor,wrap,98.63
5,7,floor,wrap,98.6
5,6,floor,wrap,98.32
4,6,floor,wrap,98.24
5,5,floor,wrap,93.73
4,5,floor,wrap,93.19
3,8,floor,wrap,76.32
3,7,floor,wrap,75.56
3,6,floor,wrap,72.31
3,5,floor,wrap,57.02
5,4,floor,wrap,36.82
4,4,floor,wrap,35.77
3,4,floor,wrap,18.18
3,2,floor,wrap,11.53
4,0,floor,wrap,11.38
3,1,floor,wrap,11.01
1,4,floor,wrap,10.72
2,6,floor,wrap,10.64
0,7,floor,wrap,10.53
5,0,floor,wrap,10.52
2,5,floor,wrap,10.31
2,0,floor,wrap,10.3
0,8,floor,wrap,10.27
1,6,floor,wrap,10.17
4,1,floor,wrap,10.11
0,5,floor,wrap,10.06
0,2,floor,wrap,10.0
1,0,floor,wrap,9.99
3,0,floor,wrap,9.91
1,1,floor,wrap,9.87
2,2,floor,wrap,9.87
2,1,floor,wrap,9.86
0,4,floor,wrap,9.85
1,8,floor,wrap,9.82
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
1,2,floor,wrap,9.78
1,3,floor,wrap,9.76
1,7,floor,wrap,9.73
1,5,floor,wrap,9.7
2,3,floor,wrap,9.61
0,6,floor,wrap,9.48
0,3,floor,wrap,9.47
5,3,floor,wrap,9.39
5,2,floor,wrap,9.03
3,3,floor,wrap,8.91
5,1,floor,wrap,8.66
2,4,floor,wrap,8.6
4,2,floor,wrap,8.49
4,3,floor,wrap,7.76
2,7,floor,wrap,7.05
2,8,floor,wrap,5.61
