m,n,rounding,overflow,acc
5,7,nearest,wrap,98.76
5,4,nearest,wrap,98.73
5,6,nearest,wrap,98.72
4,4,nearest,wrap,98.71
4,6,nearest,wrap,98.71
4,8,nearest,wrap,98.7
5,8,nearest,wrap,98.67
4,7,nearest,wrap,98.63
5,5,nearest,wrap,98.63
4,5,nearest,wrap,98.62
5,3,nearest,wrap,98.53
4,3,nearest,wrap,98.5
5,2,nearest,wrap,98.31
4,2,nearest,wrap,98.23
3,4,nearest,wrap,78.18
3,3,nearest,wrap,77.6
3,5,nearest,wrap,77.02
3,8,nearest,wrap,76.65
3,6,nearest,wrap,76.27
3,7,nearest,wrap,76.24
3,2,nearest,wrap,68.96
5,1,nearest,wrap,35.36
4,1,nearest,wrap,34.95
3,1,nearest,wrap,25.07
1,7,nearest,wrap,10.61
0,3,nearest,wrap,10.59
1,5,nearest,wrap,10.54
1,4,nearest,wrap,10.51
1,6,nearest,wrap,10.4
0,7,nearest,wrap,10.36
0,2,nearest,wrap,10.33
0,8,nearest,wrap,10.31
0,6,nearest,wrap,10.23
1,3,nearest,wrap,10.12
0,5,nearest,wrap,9.93
1,2,nearest,wrap,9.81
0,1,nearest,wrap,9.8
0,0,nearest,wrap,9.8
3,0,nearest,wrap,9.8
4,0,nearest,wrap,9.8
5,0,nearest,wrap,9.8
2,0,nearest,wrap,9.8
0,4,nearest,wrap,9.79
1,0,nearest,wrap,9.73
1,8,nearest,wrap,9.72
1,1,nearest,wrap,9.7
2,1,nearest,wrap,8.4
2,3,nearest,wrap,8.16
2,2,nearest,wrap,7.92
2,5,nearest,wrap,7.25
2,7,nearest,wrap,6.88
2,4,nearest,wrap,6.87
2,8,nearest,wrap,6.77
2,6,nearest,wrap,6.6
