m,n,rounding,overflow,acc
4,8,ceil,saturate,98.49
3,8,ceil,saturate,98.49
5,8,ceil,saturate,98.41
3,7,ceil,saturate,98.39
5,7,ceil,saturate,98.36
4,7,ceil,saturate,98.36
2,8,ceil,saturate,98.25
2,7,ceil,saturate,98.14
5,6,ceil,saturate,97.74
4,6,ceil,saturate,97.69
3,6,ceil,saturate,97.61
2,6,ceil,saturate,97.36
1,8,ceil,saturate,91.18
5,5,ceil,saturate,90.29
4,5,ceil,saturate,90.26
3,5,ceil,saturate,90.26
1,7,ceil,saturate,90.12
2,5,ceil,saturate,89.24
1,6,ceil,saturate,87.04
1,5,ceil,saturate,72.4
0,8,ceil,saturate,52.64
0,7,ceil,saturate,52.01
0,6,ceil,saturate,50.09
0,5,ceil,saturate,42.33
4,4,ceil,saturate,37.91
5,4,ceil,saturate,37.79
3,4,ceil,saturate,37.67
2,4,ceil,saturate,36.89
1,4,ceil,saturate,32.26
0,4,ceil,saturate,29.37
1,3,ceil,saturate,16.57
2,3,ceil,saturate,16.06
0,3,ceil,saturate,14.59
4,3,ceil,saturate,13.89
3,3,ceil,saturate,13.87
5,3,ceil,saturate,13.78
0,0,ceil,saturate,9.8
0,2,ceil,saturate,9.8
2,2,ceil,saturate,9.8
2,1,ceil,saturate,9.8
2,0,ceil,saturate,9.8
1,1,ceil,saturate,9.8
1,2,ceil,saturate,9.8
1,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
3,0,ceil,saturate,9.8
4,1,ceil,saturate,9.8
4,0,ceil,saturate,9.8
3,1,ceil,saturate,9.8
3,2,ceil,saturate,9.8
5,0,ceil,saturate,9.8
4,2,ceil,saturate,9.8
5,1,ceil,saturate,9.8
5,2,ceil,saturate,9.8
