m,n,rounding,overflow,acc
4,8,floor,saturate,98.7
3,8,floor,saturate,98.66
5,8,floor,saturate,98.61
4,7,floor,saturate,98.59
3,7,floor,saturate,98.54
5,7,floor,saturate,98.54
2,8,floor,saturate,98.45
2,7,floor,saturate,98.44
4,6,floor,saturate,97.91
5,6,floor,saturate,97.91
3,6,floor,saturate,97.86
2,6,floor,saturate,97.84
1,8,floor,saturate,91.95
1,7,floor,saturate,91.87
1,6,floor,saturate,91.25
2,5,floor,saturate,89.72
5,5,floor,saturate,89.43
4,5,floor,saturate,89.39
3,5,floor,saturate,89.22
1,5,floor,saturate,83.14
0,7,floor,saturate,53.19
0,8,floor,saturate,53.12
0,6,floor,saturate,51.7
0,5,floor,saturate,43.19
1,4,floor,saturate,27.15
4,4,floor,saturate,22.78
2,4,floor,saturate,22.73
3,4,floor,saturate,22.56
5,4,floor,saturate,22.48
0,4,floor,saturate,22.36
0,3,floor,saturate,12.48
1,3,floor,saturate,10.28
3,3,floor,saturate,9.89
4,3,floor,saturate,9.88
5,3,floor,saturate,9.87
2,3,floor,saturate,9.86
0,2,floor,saturate,9.81
0,0,floor,saturate,9.8
2,2,floor,saturate,9.8
2,1,floor,saturate,9.8
2,0,floor,saturate,9.8
1,1,floor,saturate,9.8
1,2,floor,saturate,9.8
1,0,floor,saturate,9.8
0,1,floor,saturate,9.8
3,0,floor,saturate,9.8
4,1,floor,saturate,9.8
4,0,floor,saturate,9.8
3,1,floor,saturate,9.8
3,2,floor,saturate,9.8
5,0,floor,saturate,9.8
4,2,floor,saturate,9.8
5,1,floor,saturate,9.8
5,2,floor,saturate,9.8
