m,n,rounding,overflow,acc
4,4,nearest,saturate,98.63
3,8,nearest,saturate,98.62
3,5,nearest,saturate,98.62
5,6,nearest,saturate,98.62
5,5,nearest,saturate,98.61
3,4,nearest,saturate,98.61
4,8,nearest,saturate,98.6
4,7,nearest,saturate,98.6
5,7,nearest,saturate,98.59
5,8,nearest,saturate,98.58
3,7,nearest,saturate,98.58
4,5,nearest,saturate,98.57
3,6,nearest,saturate,98.57
5,3,nearest,saturate,98.54
4,6,nearest,saturate,98.53
3,3,nearest,saturate,98.5
5,4,nearest,saturate,98.5
4,3,nearest,saturate,98.47
2,4,nearest,saturate,98.44
2,6,nearest,saturate,98.42
2,8,nearest,saturate,98.41
2,7,nearest,saturate,98.41
2,5,nearest,saturate,98.4
2,3,nearest,saturate,98.27
3,2,nearest,saturate,98.13
5,2,nearest,saturate,98.06
4,2,nearest,saturate,98.03
2,2,nearest,saturate,97.72
1,6,nearest,saturate,91.85
1,8,nearest,saturate,91.75
1,7,nearest,saturate,91.67
1,5,nearest,saturate,91.54
1,4,nearest,saturate,91.21
1,3,nearest,saturate,90.27
1,2,nearest,saturate,88.0
3,1,nearest,saturate,57.89
2,1,nearest,saturate,57.64
4,1,nearest,saturate,57.53
5,1,nearest,saturate,57.4
1,1,nearest,saturate,56.64
0,8,nearest,saturate,52.94
0,7,nearest,saturate,52.92
0,6,nearest,saturate,52.56
0,5,nearest,saturate,52.0
0,4,nearest,saturate,50.55
0,3,nearest,saturate,46.65
0,2,nearest,saturate,41.73
3,0,nearest,saturate,9.83
5,0,nearest,saturate,9.83
2,0,nearest,saturate,9.83
1,0,nearest,saturate,9.82
4,0,nearest,saturate,9.82
0,1,nearest,saturate,9.8
0,0,nearest,saturate,9.8
