m,n,rounding,overflow,acc
5,7,nearest,wrap,98.64
5,5,nearest,wrap,98.61
5,3,nearest,wrap,98.57
5,4,nearest,wrap,98.57
5,8,nearest,wrap,98.57
5,6,nearest,wrap,98.55
4,7,nearest,wrap,98.47
4,6,nearest,wrap,98.46
4,5,nearest,wrap,98.45
4,4,nearest,wrap,98.43
4,8,nearest,wrap,98.42
4,3,nearest,wrap,98.39
5,2,nearest,wrap,97.95
4,2,nearest,wrap,97.6
5,1,nearest,wrap,57.31
4,1,nearest,wrap,56.49
3,4,nearest,wrap,37.15
3,2,nearest,wrap,35.79
3,5,nearest,wrap,35.44
3,8,nearest,wrap,35.33
3,7,nearest,wrap,35.28
3,6,nearest,wrap,35.14
3,3,nearest,wrap,34.98
3,1,nearest,wrap,21.39
1,2,nearest,wrap,10.68
0,5,nearest,wrap,10.62
1,3,nearest,wrap,10.55
1,5,nearest,wrap,10.28
1,1,nearest,wrap,10.14
1,8,nearest,wrap,10.09
1,7,nearest,wrap,10.08
0,3,nearest,wrap,9.98
1,6,nearest,wrap,9.97
0,8,nearest,wrap,9.86
0,2,nearest,wrap,9.84
4,0,nearest,wrap,9.82
5,0,nearest,wrap,9.82
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
1,4,nearest,wrap,9.74
0,6,nearest,wrap,9.68
0,4,nearest,wrap,9.56
0,7,nearest,wrap,9.56
2,3,nearest,wrap,9.19
2,2,nearest,wrap,8.85
2,6,nearest,wrap,8.49
2,8,nearest,wrap,8.29
2,7,nearest,wrap,7.9
2,5,nearest,wrap,7.8
2,4,nearest,wrap,7.75
2,0,nearest,wrap,7.51
2,1,nearest,wrap,6.81
1,0,nearest,wrap,6.55
3,0,nearest,wrap,5.34
