m,n,rounding,overflow,acc
5,8,floor,wrap,98.07
4,8,floor,wrap,97.9
4,7,floor,wrap,97.74
5,7,floor,wrap,97.68
5,6,floor,wrap,96.56
4,6,floor,wrap,96.45
3,8,floor,wrap,90.77
3,7,floor,wrap,89.28
5,5,floor,wrap,83.3
4,5,floor,wrap,83.01
3,6,floor,wrap,82.32
3,5,floor,wrap,59.88
5,4,floor,wrap,25.13
4,4,floor,wrap,25.09
3,4,floor,wrap,18.29
2,5,floor,wrap,16.24
2,8,floor,wrap,15.33
4,0,floor,wrap,15.03
2,7,floor,wrap,14.69
2,6,floor,wrap,14.33
3,2,floor,wrap,13.89
3,1,floor,wrap,12.71
2,2,floor,wrap,11.93
5,0,floor,wrap,11.57
1,5,floor,wrap,10.9
4,1,floor,wrap,10.7
1,3,floor,wrap,10.59
0,7,floor,wrap,10.51
2,1,floor,wrap,10.5
3,0,floor,wrap,10.39
1,0,floor,wrap,10.33
0,6,floor,wrap,10.24
0,3,floor,wrap,10.2
1,4,floor,wrap,10.1
0,2,floor,wrap,10.05
4,2,floor,wrap,10.01
1,2,floor,wrap,10.01
0,4,floor,wrap,9.8
0,1,floor,wrap,9.8
0,0,floor,wrap,9.8
5,2,floor,wrap,9.8
5,1,floor,wrap,9.8
1,1,floor,wrap,9.8
0,5,floor,wrap,9.75
1,7,floor,wrap,9.62
1,8,floor,wrap,9.55
0,8,floor,wrap,9.5
1,6,floor,wrap,9.45
2,0,floor,wrap,9.33
3,3,floor,wrap,9.19
5,3,floor,wrap,9.15
2,4,floor,wrap,8.89
2,3,floor,wrap,8.87
4,3,floor,wrap,5.59
