m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,95.4
0,3,floor,saturate,96.35
0,4,floor,saturate,96.46
0,5,floor,saturate,96.46
0,6,floor,saturate,96.57
0,7,floor,saturate,96.51
0,8,floor,saturate,96.48
1,0,floor,saturate,91.4
1,1,floor,saturate,92.46
1,2,floor,saturate,95.33
1,3,floor,saturate,96.29
1,4,floor,saturate,96.43
1,5,floor,saturate,96.43
1,6,floor,saturate,96.52
1,7,floor,saturate,96.5
1,8,floor,saturate,96.58
2,0,floor,saturate,91.42
2,1,floor,saturate,92.45
2,2,floor,saturate,95.47
2,3,floor,saturate,96.2
2,4,floor,saturate,96.34
2,5,floor,saturate,96.41
2,6,floor,saturate,96.49
2,7,floor,saturate,96.39
2,8,floor,saturate,96.4
3,0,floor,saturate,91.15
3,1,floor,saturate,92.56
3,2,floor,saturate,95.32
3,3,floor,saturate,96.47
3,4,floor,saturate,96.55
3,5,floor,saturate,96.7
3,6,floor,saturate,96.57
3,7,floor,saturate,96.48
3,8,floor,saturate,96.5
4,0,floor,saturate,91.11
4,1,floor,saturate,92.61
4,2,floor,saturate,95.31
4,3,floor,saturate,96.33
4,4,floor,saturate,96.6
4,5,floor,saturate,96.41
4,6,floor,saturate,96.51
4,7,floor,saturate,96.52
4,8,floor,saturate,96.44
5,0,floor,saturate,91.55
5,1,floor,saturate,92.35
5,2,floor,saturate,95.41
5,3,floor,saturate,96.22
5,4,floor,saturate,96.42
5,5,floor,saturate,96.33
5,6,floor,saturate,96.49
5,7,floor,saturate,96.38
5,8,floor,saturate,96.39
