m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,9.77
0,3,nearest,wrap,10.39
0,4,nearest,wrap,9.61
0,5,nearest,wrap,10.13
0,6,nearest,wrap,9.77
0,7,nearest,wrap,10.01
0,8,nearest,wrap,9.86
1,0,nearest,wrap,9.55
1,1,nearest,wrap,9.81
1,2,nearest,wrap,8.81
1,3,nearest,wrap,9.56
1,4,nearest,wrap,9.62
1,5,nearest,wrap,9.7
1,6,nearest,wrap,9.7
1,7,nearest,wrap,9.22
1,8,nearest,wrap,10.04
2,0,nearest,wrap,21.24
2,1,nearest,wrap,25.05
2,2,nearest,wrap,19.34
2,3,nearest,wrap,17.37
2,4,nearest,wrap,16.06
2,5,nearest,wrap,15.35
2,6,nearest,wrap,15.14
2,7,nearest,wrap,14.89
2,8,nearest,wrap,15.12
3,0,nearest,wrap,91.71
3,1,nearest,wrap,91.0
3,2,nearest,wrap,90.86
3,3,nearest,wrap,90.93
3,4,nearest,wrap,90.66
3,5,nearest,wrap,90.39
3,6,nearest,wrap,90.4
3,7,nearest,wrap,90.13
3,8,nearest,wrap,90.04
4,0,nearest,wrap,96.3
4,1,nearest,wrap,95.37
4,2,nearest,wrap,96.22
4,3,nearest,wrap,96.48
4,4,nearest,wrap,96.7
4,5,nearest,wrap,96.48
4,6,nearest,wrap,96.49
4,7,nearest,wrap,96.5
4,8,nearest,wrap,96.45
5,0,nearest,wrap,96.38
5,1,nearest,wrap,95.48
5,2,nearest,wrap,96.27
5,3,nearest,wrap,96.42
5,4,nearest,wrap,96.5
5,5,nearest,wrap,96.52
5,6,nearest,wrap,96.53
5,7,nearest,wrap,96.35
5,8,nearest,wrap,96.42
