m,n,rounding,overflow,acc
0,0,stochastic,saturate,9.8
0,1,stochastic,saturate,9.8
0,2,stochastic,saturate,96.18
0,3,stochastic,saturate,96.41
0,4,stochastic,saturate,96.41
0,5,stochastic,saturate,96.53
0,6,stochastic,saturate,96.54
0,7,stochastic,saturate,96.3
0,8,stochastic,saturate,96.55
1,0,stochastic,saturate,96.58
1,1,stochastic,saturate,95.84
1,2,stochastic,saturate,96.2
1,3,stochastic,saturate,96.25
1,4,stochastic,saturate,96.48
1,5,stochastic,saturate,96.6
1,6,stochastic,saturate,96.41
1,7,stochastic,saturate,96.52
1,8,stochastic,saturate,96.44
2,0,stochastic,saturate,96.61
2,1,stochastic,saturate,95.66
2,2,stochastic,saturate,96.29
2,3,stochastic,saturate,96.47
2,4,stochastic,saturate,96.45
2,5,stochastic,saturate,96.5
2,6,stochastic,saturate,96.42
2,7,stochastic,saturate,96.27
2,8,stochastic,saturate,96.56
3,0,stochastic,saturate,96.56
3,1,stochastic,saturate,95.68
3,2,stochastic,saturate,96.37
3,3,stochastic,saturate,96.4
3,4,stochastic,saturate,96.5
3,5,stochastic,saturate,96.49
3,6,stochastic,saturate,96.56
3,7,stochastic,saturate,96.51
3,8,stochastic,saturate,96.48
4,0,stochastic,saturate,96.48
4,1,stochastic,saturate,95.77
4,2,stochastic,saturate,96.4
4,3,stochastic,saturate,96.36
4,4,stochastic,saturate,96.6
4,5,stochastic,saturate,96.44
4,6,stochastic,saturate,96.46
4,7,stochastic,saturate,96.44
4,8,stochastic,saturate,96.48
5,0,stochastic,saturate,96.42
5,1,stochastic,saturate,95.68
5,2,stochastic,saturate,96.29
5,3,stochastic,saturate,96.5
5,4,stochastic,saturate,96.58
5,5,stochastic,saturate,96.43
5,6,stochastic,saturate,96.43
5,7,stochastic,saturate,96.61
5,8,stochastic,saturate,96.57
