m,n,rounding,overflow,acc
0,0,ceil,wrap,9.8
0,1,ceil,wrap,9.8
0,2,ceil,wrap,10.21
0,3,ceil,wrap,9.76
0,4,ceil,wrap,10.53
0,5,ceil,wrap,10.24
0,6,ceil,wrap,10.08
0,7,ceil,wrap,9.72
0,8,ceil,wrap,9.57
1,0,ceil,wrap,10.3
1,1,ceil,wrap,9.6
1,2,ceil,wrap,10.69
1,3,ceil,wrap,10.52
1,4,ceil,wrap,9.88
1,5,ceil,wrap,9.58
1,6,ceil,wrap,9.96
1,7,ceil,wrap,10.06
1,8,ceil,wrap,10.22
2,0,ceil,wrap,11.52
2,1,ceil,wrap,9.82
2,2,ceil,wrap,8.76
2,3,ceil,wrap,8.52
2,4,ceil,wrap,8.29
2,5,ceil,wrap,7.96
2,6,ceil,wrap,8.05
2,7,ceil,wrap,7.84
2,8,ceil,wrap,8.05
3,0,ceil,wrap,93.22
3,1,ceil,wrap,91.01
3,2,ceil,wrap,88.83
3,3,ceil,wrap,87.75
3,4,ceil,wrap,86.67
3,5,ceil,wrap,86.57
3,6,ceil,wrap,86.45
3,7,ceil,wrap,86.26
3,8,ceil,wrap,86.41
4,0,ceil,wrap,97.6
4,1,ceil,wrap,98.08
4,2,ceil,wrap,97.98
4,3,ceil,wrap,98.08
4,4,ceil,wrap,97.94
4,5,ceil,wrap,98.01
4,6,ceil,wrap,97.95
4,7,ceil,wrap,98.0
4,8,ceil,wrap,97.96
5,0,ceil,wrap,97.67
5,1,ceil,wrap,98.08
5,2,ceil,wrap,98.12
5,3,ceil,wrap,98.05
5,4,ceil,wrap,97.99
5,5,ceil,wrap,98.04
5,6,ceil,wrap,98.09
5,7,ceil,wrap,98.08
5,8,ceil,wrap,98.12
