m,n,rounding,overflow,acc
0,0,floor,saturate,9.8
0,1,floor,saturate,9.8
0,2,floor,saturate,9.8
0,3,floor,saturate,9.8
0,4,floor,saturate,9.8
0,5,floor,saturate,9.8
0,6,floor,saturate,9.8
0,7,floor,saturate,9.8
0,8,floor,saturate,9.8
1,0,floor,saturate,9.8
1,1,floor,saturate,9.8
1,2,floor,saturate,9.8
1,3,floor,saturate,9.8
1,4,floor,saturate,9.8
1,5,floor,saturate,9.8
1,6,floor,saturate,9.8
1,7,floor,saturate,9.8
1,8,floor,saturate,9.8
2,0,floor,saturate,9.8
2,1,floor,saturate,9.8
2,2,floor,saturate,9.8
2,3,floor,saturate,9.8
2,4,floor,saturate,9.8
2,5,floor,saturate,9.8
2,6,floor,saturate,9.8
2,7,floor,saturate,9.8
2,8,floor,saturate,9.8
3,0,floor,saturate,9.8
3,1,floor,saturate,9.8
3,2,floor,saturate,9.8
3,3,floor,saturate,9.8
3,4,floor,saturate,9.8
3,5,floor,saturate,9.8
3,6,floor,saturate,9.8
3,7,floor,saturate,9.8
3,8,floor,saturate,9.8
4,0,floor,saturate,9.8
4,1,floor,saturate,9.8
4,2,floor,saturate,9.8
4,3,floor,saturate,9.8
4,4,floor,saturate,9.8
4,5,floor,saturate,9.8
4,6,floor,saturate,9.8
4,7,floor,saturate,9.8
4,8,floor,saturate,9.8
5,0,floor,saturate,9.8
5,1,floor,saturate,9.8
5,2,floor,saturate,9.8
5,3,floor,saturate,9.8
5,4,floor,saturate,9.8
5,5,floor,saturate,9.8
5,6,floor,saturate,9.8
5,7,floor,saturate,9.8
5,8,floor,saturate,9.8
