m,n,rounding,overflow,acc
0,0,nearest,wrap,9.8
0,1,nearest,wrap,9.8
0,2,nearest,wrap,9.93
0,3,nearest,wrap,9.62
0,4,nearest,wrap,10.27
0,5,nearest,wrap,9.29
0,6,nearest,wrap,9.99
0,7,nearest,wrap,9.94
0,8,nearest,wrap,9.9
1,0,nearest,wrap,9.96
1,1,nearest,wrap,9.91
1,2,nearest,wrap,10.8
1,3,nearest,wrap,10.33
1,4,nearest,wrap,10.21
1,5,nearest,wrap,10.08
1,6,nearest,wrap,10.64
1,7,nearest,wrap,10.98
1,8,nearest,wrap,10.78
2,0,nearest,wrap,11.35
2,1,nearest,wrap,11.8
2,2,nearest,wrap,10.67
2,3,nearest,wrap,9.03
2,4,nearest,wrap,10.14
2,5,nearest,wrap,9.54
2,6,nearest,wrap,9.82
2,7,nearest,wrap,9.67
2,8,nearest,wrap,9.66
3,0,nearest,wrap,88.27
3,1,nearest,wrap,85.11
3,2,nearest,wrap,84.19
3,3,nearest,wrap,83.51
3,4,nearest,wrap,83.09
3,5,nearest,wrap,82.94
3,6,nearest,wrap,82.79
3,7,nearest,wrap,83.1
3,8,nearest,wrap,83.09
4,0,nearest,wrap,96.69
4,1,nearest,wrap,96.22
4,2,nearest,wrap,96.53
4,3,nearest,wrap,96.75
4,4,nearest,wrap,96.7
4,5,nearest,wrap,96.67
4,6,nearest,wrap,96.76
4,7,nearest,wrap,96.83
4,8,nearest,wrap,96.73
5,0,nearest,wrap,96.83
5,1,nearest,wrap,96.22
5,2,nearest,wrap,96.43
5,3,nearest,wrap,96.68
5,4,nearest,wrap,96.69
5,5,nearest,wrap,96.75
5,6,nearest,wrap,96.94
5,7,nearest,wrap,96.73
5,8,nearest,wrap,96.74
