m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,9.9
0,3,trunc,wrap,9.79
0,4,trunc,wrap,10.67
0,5,trunc,wrap,9.78
0,6,trunc,wrap,9.96
0,7,trunc,wrap,9.85
0,8,trunc,wrap,10.02
1,0,trunc,wrap,8.72
1,1,trunc,wrap,9.05
1,2,trunc,wrap,10.18
1,3,trunc,wrap,9.88
1,4,trunc,wrap,10.18
1,5,trunc,wrap,10.13
1,6,trunc,wrap,9.83
1,7,trunc,wrap,10.17
1,8,trunc,wrap,10.32
2,0,trunc,wrap,24.67
2,1,trunc,wrap,15.7
2,2,trunc,wrap,10.8
2,3,trunc,wrap,9.33
2,4,trunc,wrap,8.37
2,5,trunc,wrap,7.97
2,6,trunc,wrap,8.24
2,7,trunc,wrap,8.01
2,8,trunc,wrap,8.05
3,0,trunc,wrap,92.71
3,1,trunc,wrap,89.2
3,2,trunc,wrap,88.12
3,3,trunc,wrap,87.57
3,4,trunc,wrap,86.39
3,5,trunc,wrap,86.4
3,6,trunc,wrap,86.47
3,7,trunc,wrap,86.26
3,8,trunc,wrap,86.41
4,0,trunc,wrap,97.07
4,1,trunc,wrap,97.38
4,2,trunc,wrap,97.83
4,3,trunc,wrap,98.04
4,4,trunc,wrap,97.92
4,5,trunc,wrap,98.08
4,6,trunc,wrap,97.94
4,7,trunc,wrap,98.05
4,8,trunc,wrap,97.96
5,0,trunc,wrap,97.28
5,1,trunc,wrap,97.33
5,2,trunc,wrap,97.87
5,3,trunc,wrap,98.06
5,4,trunc,wrap,98.02
5,5,trunc,wrap,98.01
5,6,trunc,wrap,98.09
5,7,trunc,wrap,98.12
5,8,trunc,wrap,98.15
