m,n,rounding,overflow,acc
0,0,trunc,saturate,9.8
0,1,trunc,saturate,9.8
0,2,trunc,saturate,98.38
0,3,trunc,saturate,98.4
0,4,trunc,saturate,98.49
0,5,trunc,saturate,98.44
0,6,trunc,saturate,98.45
0,7,trunc,saturate,98.49
0,8,trunc,saturate,98.39
1,0,trunc,saturate,97.85
1,1,trunc,saturate,98.04
1,2,trunc,saturate,98.24
1,3,trunc,saturate,98.5
1,4,trunc,saturate,98.49
1,5,trunc,saturate,98.44
1,6,trunc,saturate,98.44
1,7,trunc,saturate,98.4
1,8,trunc,saturate,98.38
2,0,trunc,saturate,97.81
2,1,trunc,saturate,97.96
2,2,trunc,saturate,98.34
2,3,trunc,saturate,98.46
2,4,trunc,saturate,98.46
2,5,trunc,saturate,98.48
2,6,trunc,saturate,98.37
2,7,trunc,saturate,98.39
2,8,trunc,saturate,98.45
3,0,trunc,saturate,97.74
3,1,trunc,saturate,97.94
3,2,trunc,saturate,98.34
3,3,trunc,saturate,98.43
3,4,trunc,saturate,98.35
3,5,trunc,saturate,98.46
3,6,trunc,saturate,98.41
3,7,trunc,saturate,98.43
3,8,trunc,saturate,98.45
4,0,trunc,saturate,97.83
4,1,trunc,saturate,97.93
4,2,trunc,saturate,98.41
4,3,trunc,saturate,98.41
4,4,trunc,saturate,98.5
4,5,trunc,saturate,98.5
4,6,trunc,saturate,98.48
4,7,trunc,saturate,98.55
4,8,trunc,saturate,98.35
5,0,trunc,saturate,97.82
5,1,trunc,saturate,97.92
5,2,trunc,saturate,98.36
5,3,trunc,saturate,98.49
5,4,trunc,saturate,98.5
5,5,trunc,saturate,98.44
5,6,trunc,saturate,98.4
5,7,trunc,saturate,98.48
5,8,trunc,saturate,98.39
