m,n,rounding,overflow,acc
0,0,trunc,wrap,9.8
0,1,trunc,wrap,9.8
0,2,trunc,wrap,9.86
0,3,trunc,wrap,9.59
0,4,trunc,wrap,9.92
0,5,trunc,wrap,10.58
0,6,trunc,wrap,10.25
0,7,trunc,wrap,10.77
0,8,trunc,wrap,10.04
1,0,trunc,wrap,8.24
1,1,trunc,wrap,5.38
1,2,trunc,wrap,9.78
1,3,trunc,wrap,11.06
1,4,trunc,wrap,10.43
1,5,trunc,wrap,9.82
1,6,trunc,wrap,10.22
1,7,trunc,wrap,8.53
1,8,trunc,wrap,8.42
2,0,trunc,wrap,9.74
2,1,trunc,wrap,9.43
2,2,trunc,wrap,10.73
2,3,trunc,wrap,12.8
2,4,trunc,wrap,15.19
2,5,trunc,wrap,16.21
2,6,trunc,wrap,16.96
2,7,trunc,wrap,17.91
2,8,trunc,wrap,17.68
3,0,trunc,wrap,9.8
3,1,trunc,wrap,9.8
3,2,trunc,wrap,10.0
3,3,trunc,wrap,11.2
3,4,trunc,wrap,14.6
3,5,trunc,wrap,17.26
3,6,trunc,wrap,19.41
3,7,trunc,wrap,21.08
3,8,trunc,wrap,21.36
4,0,trunc,wrap,9.8
4,1,trunc,wrap,9.8
4,2,trunc,wrap,9.9
4,3,trunc,wrap,10.62
4,4,trunc,wrap,14.19
4,5,trunc,wrap,16.9
4,6,trunc,wrap,18.8
4,7,trunc,wrap,20.69
4,8,trunc,wrap,21.13
5,0,trunc,wrap,9.8
5,1,trunc,wrap,9.8
5,2,trunc,wrap,9.88
5,3,trunc,wrap,10.68
5,4,trunc,wrap,14.13
5,5,trunc,wrap,16.76
5,6,trunc,wrap,18.89
5,7,trunc,wrap,20.32
5,8,trunc,wrap,21.17
