m,n,rounding,overflow,acc
0,0,ceil,saturate,9.8
0,1,ceil,saturate,9.8
0,2,ceil,saturate,97.72
0,3,ceil,saturate,97.81
0,4,ceil,saturate,97.86
0,5,ceil,saturate,97.68
0,6,ceil,saturate,97.82
0,7,ceil,saturate,97.66
0,8,ceil,saturate,97.77
1,0,ceil,saturate,97.24
1,1,ceil,saturate,97.82
1,2,ceil,saturate,97.87
1,3,ceil,saturate,97.85
1,4,ceil,saturate,97.8
1,5,ceil,saturate,97.77
1,6,ceil,saturate,97.82
1,7,ceil,saturate,97.7
1,8,ceil,saturate,97.75
2,0,ceil,saturate,97.29
2,1,ceil,saturate,97.78
2,2,ceil,saturate,97.74
2,3,ceil,saturate,97.67
2,4,ceil,saturate,97.83
2,5,ceil,saturate,97.74
2,6,ceil,saturate,97.68
2,7,ceil,saturate,97.83
2,8,ceil,saturate,97.78
3,0,ceil,saturate,97.24
3,1,ceil,saturate,97.83
3,2,ceil,saturate,97.7
3,3,ceil,saturate,97.83
3,4,ceil,saturate,97.71
3,5,ceil,saturate,97.7
3,6,ceil,saturate,97.82
3,7,ceil,saturate,97.79
3,8,ceil,saturate,97.71
4,0,ceil,saturate,97.26
4,1,ceil,saturate,97.74
4,2,ceil,saturate,97.83
4,3,ceil,saturate,97.75
4,4,ceil,saturate,97.74
4,5,ceil,saturate,97.78
4,6,ceil,saturate,97.71
4,7,ceil,saturate,97.73
4,8,ceil,saturate,97.87
5,0,ceil,saturate,97.32
5,1,ceil,saturate,97.9
5,2,ceil,saturate,97.82
5,3,ceil,saturate,97.77
5,4,ceil,saturate,97.79
5,5,ceil,saturate,97.79
5,6,ceil,saturate,97.7
5,7,ceil,saturate,97.73
5,8,ceil,saturate,97.72
