m,n,rounding,overflow,acc
0,0,floor,wrap,9.8
0,1,floor,wrap,9.8
0,2,floor,wrap,9.95
0,3,floor,wrap,10.28
0,4,floor,wrap,10.21
0,5,floor,wrap,10.36
0,6,floor,wrap,9.78
0,7,floor,wrap,10.31
0,8,floor,wrap,9.93
1,0,floor,wrap,9.59
1,1,floor,wrap,10.74
1,2,floor,wrap,10.05
1,3,floor,wrap,10.19
1,4,floor,wrap,10.06
1,5,floor,wrap,9.91
1,6,floor,wrap,10.2
1,7,floor,wrap,9.83
1,8,floor,wrap,9.37
2,0,floor,wrap,8.0
2,1,floor,wrap,8.24
2,2,floor,wrap,9.03
2,3,floor,wrap,9.12
2,4,floor,wrap,9.33
2,5,floor,wrap,9.99
2,6,floor,wrap,9.6
2,7,floor,wrap,9.73
2,8,floor,wrap,9.6
3,0,floor,wrap,44.78
3,1,floor,wrap,45.53
3,2,floor,wrap,47.32
3,3,floor,wrap,47.97
3,4,floor,wrap,47.12
3,5,floor,wrap,47.17
3,6,floor,wrap,47.19
3,7,floor,wrap,47.7
3,8,floor,wrap,47.24
4,0,floor,wrap,96.6
4,1,floor,wrap,96.84
4,2,floor,wrap,97.38
4,3,floor,wrap,97.47
4,4,floor,wrap,97.59
4,5,floor,wrap,97.57
4,6,floor,wrap,97.54
4,7,floor,wrap,97.59
4,8,floor,wrap,97.71
5,0,floor,wrap,96.79
5,1,floor,wrap,97.13
5,2,floor,wrap,97.59
5,3,floor,wrap,97.65
5,4,floor,wrap,97.71
5,5,floor,wrap,97.72
5,6,floor,wrap,97.78
5,7,floor,wrap,97.71
5,8,floor,wrap,97.69
